coral,genotype,nubbin,Tank,Sym Status,Treatment,Tank,PAM Day 2 A,PAM Day 2 B,PAM Day 2 C,PAM Day 2 Average,PAM Day 5 A,PAM Day 5 B,PAM Day 5 C,PAM Day 5 Average,PAM Day 8 A,PAM Day 8 B,PAM Day 8 C,PAM Day 8 Average,PAM Day 11 A,PAM Day 11 B,PAM Day 11 C,PAM Day 14 A,PAM Day 14 B,PAM Day 14 C
AQ3,Q,3,heat_2,B,Heat,2,0.579,0.448,0.468,0.498333333,0.447,0.492,0.414,0.451,0.508,0.488,0.466,0.487333333,NA,NA,NA,NA,NA,NA
AL2,L,2,heat_2,B,Heat,2,0.563,0.677,0.58,0.606666667,0.53,0.505,0.504,0.513,0.477,0.485,0.514,0.492,NA,NA,NA,NA,NA,NA
AJ3,J,3,heat_2,B,Heat,2,0.464,0.526,0.306,0.432,0.458,0.393,0.473,0.441333333,0.508,0.504,0.446,0.486,NA,NA,NA,NA,NA,NA
AI3,I,3,heat_2,B,Heat,2,0.141,0.107,0.114,0.120666667,0.272,0.28,0.193,0.248333333,0.468,0.509,0.483,0.486666667,NA,NA,NA,NA,NA,NA
AB4,B,4,heat_2,B,Heat,2,0.318,0.451,0.25,0.339666667,0.398,0.432,0.42,0.416666667,0.519,0.556,0.603,0.559333333,NA,NA,NA,NA,NA,NA
AK2,K,2,heat_2,W,Heat,2,0.377,0.327,0.303,0.335666667,0.624,0.593,0.6,0.605666667,0.386,0.483,0.436,0.435,NA,NA,NA,NA,NA,NA
AC1,C,1,heat_2,W,Heat,2,0.45,0.44,0.51,0.466666667,0.661,0.691,0.694,0.682,0.616,0.582,0.553,0.583666667,NA,NA,NA,NA,NA,NA
AD5,D,5,heat_2,W,Heat,2,0.423,0.488,0.408,0.439666667,0.14,0.238,0.152,0.176666667,0.493,0.425,0.463,0.460333333,NA,NA,NA,NA,NA,NA
AG1,G,1,heat_2,W,Heat,2,0.367,0.325,0.416,0.369333333,0.434,0.348,0.353,0.378333333,0.328,0.281,0.292,0.300333333,NA,NA,NA,NA,NA,NA
AT1,T,1,heat_3,B,Heat,3,0.486,0.376,0.465,0.442333333,0.41,0.419,0.473,0.434,0.525,0.549,0.55,0.541333333,NA,NA,NA,NA,NA,NA
AR4,R,4,heat_3,B,Heat,3,0.374,0.519,0.444,0.445666667,0.494,0.477,0.458,0.476333333,0.493,0.517,0.531,0.513666667,NA,NA,NA,NA,NA,NA
AN1,N,1,heat_3,B,Heat,3,0.494,0.622,0.652,0.589333333,0.495,0.46,0.429,0.461333333,0.511,0.568,0.468,0.515666667,NA,NA,NA,NA,NA,NA
AQ1,Q,1,heat_3,B,Heat,3,0.356,0.451,0.48,0.429,0.446,0.464,0.426,0.445333333,0.411,0.509,0.47,0.463333333,NA,NA,NA,NA,NA,NA
AI2,I,2,heat_3,B,Heat,3,0.573,0.682,0.597,0.617333333,0.155,0.194,0.155,0.168,0.589,0.657,0.65,0.632,NA,NA,NA,NA,NA,NA
AF3,F,3,heat_3,B,Heat,3,0.419,0.525,0.456,0.466666667,0.415,0.424,0.459,0.432666667,0.509,0.472,0.559,0.513333333,NA,NA,NA,NA,NA,NA
AP4,P,4,heat_3,W,Heat,3,0.477,0.414,0.436,0.442333333,0.485,0.415,0.436,0.445333333,0.488,0.429,0.491,0.469333333,NA,NA,NA,NA,NA,NA
