"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL1657"	268	329	122	267	108	185	113	151	86	113	180	189	268	123	277	217	131	299	156	256	98	0	58	4	107	4	81	4	131	6	110	4	84	67	118	76	6	82	0	134	8	94	47	154	187	5	75	4	45	0	158	3	166	4	83	3	136	8	90	2	73	2	140	314	59	86	146	178	87	3	57	3	52	3
"ORTHOMCL8950"	397	417	321	370	157	269	161	205	96	167	282	370	324	338	320	276	149	296	154	352	0	4	9	9	8	5	12	9	0	14	1	3	2	11	6	0	3	0	7	0	6	0	0	12	1	13	0	12	0	5	0	18	0	13	1	8	3	10	1	7	0	4	0	0	0	1	76	2	26	7	1	4	1	3
"ORTHOMCL5387"	401	423	271	435	203	304	222	271	136	221	392	332	340	350	377	293	205	408	249	383	3	1	5	1	7	3	7	3	8	5	2	1	6	3	6	6	2	0	0	10	5	5	2	11	14	4	4	4	11	1	16	2	8	5	3	4	4	3	5	4	4	1	9	8	6	3	7	15	2	4	12	1	2	2
"ORTHOMCL2459.1"	274	313	173	344	147	232	109	191	180	234	327	359	384	346	406	361	213	406	272	425	102	0	58	7	116	4	68	7	101	5	96	3	90	59	104	36	3	62	3	121	8	125	88	255	246	13	114	8	109	8	187	12	249	9	69	18	73	10	93	4	86	3	121	289	43	85	179	319	79	3	113	4	30	7
"ORTHOMCL5426"	167	166	103	165	80	133	94	89	80	101	253	205	154	128	158	129	71	170	90	127	30	2	52	2	72	3	28	3	57	2	80	1	16	47	82	30	2	17	2	95	1	51	21	185	122	7	39	10	66	2	95	0	128	5	54	4	63	9	43	9	89	2	59	122	24	48	75	104	37	2	51	4	49	1
"ORTHOMCL8292"	405	383	214	406	177	282	138	226	67	116	223	207	109	105	102	92	65	137	62	122	0	2	0	6	3	5	9	5	7	4	7	2	6	6	7	4	3	6	3	5	1	10	5	11	29	7	15	2	5	1	6	7	14	5	1	0	6	10	6	3	3	3	11	9	2	5	1	11	7	6	11	7	1	0
"ORTHOMCL4694"	116	114	64	110	51	95	58	73	60	75	99	113	152	104	127	81	69	135	101	112	99	0	20	4	29	1	20	4	51	3	23	3	30	18	44	18	0	94	0	51	5	23	18	43	50	4	58	7	17	0	36	3	59	4	31	2	8	3	7	1	4	3	40	212	21	20	49	111	21	1	23	6	5	1
"ORTHOMCL2178.1"	500	494	222	487	190	322	186	243	241	325	436	520	460	319	426	390	225	379	218	418	175	0	91	5	75	5	83	2	194	5	163	1	130	70	142	113	1	135	3	172	7	71	73	235	243	3	170	4	79	1	174	3	234	3	106	2	101	5	141	4	101	1	159	585	79	74	180	257	77	7	249	3	46	2
"ORTHOMCL5179"	228	203	99	223	78	132	73	101	124	147	216	213	194	123	185	160	75	178	109	197	52	3	23	3	42	1	31	1	73	5	64	0	47	41	57	34	1	38	0	66	4	40	22	105	128	7	54	3	26	2	87	2	111	3	31	3	55	8	58	2	24	2	40	199	22	36	83	161	37	2	84	2	24	0
"ORTHOMCL1813.1"	422	523	400	485	212	342	219	259	144	215	336	442	375	513	382	346	242	403	236	461	78	12	80	6	159	7	187	6	205	9	237	4	197	118	165	41	8	119	4	296	7	170	125	356	236	4	157	9	152	3	158	10	202	13	70	10	166	10	217	9	117	4	144	305	168	196	388	345	153	7	122	8	106	4
