"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL7309"	135	95	64	123	53	75	50	75	61	81	136	124	66	54	75	50	37	63	45	67	12	0	8	0	8	4	8	2	11	3	5	0	7	4	12	3	2	6	1	15	1	10	4	16	21	3	12	4	4	1	20	7	20	5	5	1	16	2	10	1	3	0	8	23	7	6	7	23	16	2	10	5	0	0
"ORTHOMCL3285"	151	158	101	152	71	109	58	70	53	73	139	123	141	127	139	117	81	151	62	140	46	1	19	4	67	2	57	2	133	8	39	2	82	55	91	26	8	60	1	55	2	64	35	99	129	8	92	3	46	1	111	7	138	3	23	4	73	5	81	7	48	3	83	250	31	50	55	192	52	1	82	2	26	0
"ORTHOMCL7897"	470	422	296	461	218	366	240	282	350	373	625	575	356	377	410	371	215	425	245	455	74	2	11	8	15	2	13	8	204	9	24	5	115	29	23	11	3	173	3	25	5	24	120	33	63	12	120	5	11	0	38	6	197	6	9	5	57	3	260	7	24	3	33	444	8	12	32	388	36	4	158	7	3	2
"ORTHOMCL8636"	93	82	58	101	26	76	51	41	30	51	73	75	79	74	95	80	49	94	61	84	102	2	16	2	67	2	29	2	204	7	50	0	101	52	47	27	3	107	1	47	3	47	88	143	81	9	144	5	17	0	60	5	145	3	23	4	50	8	121	1	51	1	42	315	20	46	78	295	33	3	123	3	15	1
"ORTHOMCL5548"	130	124	73	133	49	102	59	67	68	104	130	169	122	98	143	90	55	125	60	104	30	0	2	3	22	4	21	5	121	9	13	1	86	13	10	5	1	26	2	10	2	17	25	15	65	5	44	5	15	1	24	3	76	6	1	1	17	3	54	2	9	3	16	133	8	15	20	121	17	0	34	3	5	3
"ORTHOMCL43.2"	203	226	113	243	91	160	79	127	93	174	231	269	208	224	229	146	92	203	116	196	2	4	1	3	2	3	6	1	9	7	9	1	4	3	8	3	1	1	0	12	3	5	1	11	5	3	0	7	8	2	2	0	3	0	1	2	2	3	5	3	8	5	10	21	5	8	21	28	6	1	7	3	3	1
"ORTHOMCL7580"	11	10	12	17	5	10	6	12	7	9	20	19	19	17	19	11	15	13	8	19	57	1	23	0	53	0	17	1	94	3	41	0	47	46	63	34	3	64	2	123	1	13	31	123	130	6	56	2	44	3	91	4	123	4	37	3	51	3	72	2	29	4	70	275	31	32	90	194	49	1	66	4	20	1
"ORTHOMCL8141"	410	367	307	392	203	317	252	235	326	309	566	492	320	307	371	313	187	325	208	386	60	4	8	4	22	5	18	4	120	12	18	3	165	31	21	9	6	80	3	21	7	23	60	14	61	8	175	4	9	3	46	4	133	7	12	4	19	7	78	2	8	8	46	367	6	28	25	219	27	1	97	6	7	1
"ORTHOMCL9011"	141	140	102	146	58	101	72	80	62	87	130	153	137	124	136	126	67	150	86	142	50	1	8	2	33	0	32	1	63	5	9	1	103	40	23	18	2	88	1	24	3	41	53	34	60	6	87	3	6	0	99	2	159	2	13	6	20	5	82	5	16	0	40	214	12	17	24	152	26	3	37	4	6	5
"ORTHOMCL2198.1"	98	100	89	90	44	78	44	61	49	75	101	130	68	105	84	82	45	86	37	93	3	0	1	0	0	3	1	2	5	3	3	1	6	4	1	0	2	4	1	4	1	2	0	3	17	4	9	7	2	1	2	4	4	4	1	2	3	1	0	6	1	1	7	16	3	1	3	2	3	1	5	3	4	2
"ORTHOMCL5411"	282	237	136	302	113	190	119	162	194	253	581	386	267	162	288	209	118	264	160	315	28	12	22	9	12	4	22	2	73	10	17	5	48	22	45	12	18	32	4	105	10	39	29	49	109	21	70	17	21	5	37	9	50	13	22	10	26	8	40	11	21	6	54	199	50	45	64	131	28	12	38	14	41	3
"ORTHOMCL8448"	75	99	33	79	26	55	40	55	25	26	81	57	55	60	57	36	27	54	22	41	4	6	0	4	2	9	0	3	1	4	1	1	1	2	4	1	4	1	1	2	5	3	1	3	4	4	3	5	2	2	1	11	1	6	1	4	1	7	2	4	0	3	3	8	2	0	0	5	5	5	2	5	1	0
"ORTHOMCL5326"	170	190	97	169	78	108	82	98	54	75	165	154	167	137	182	135	84	218	92	178	4	0	0	5	3	3	1	1	7	3	3	1	2	3	8	5	2	5	2	11	4	6	1	7	19	7	0	2	4	1	9	2	9	1	3	6	4	2	1	4	4	4	8	17	3	6	5	7	5	1	5	3	3	0
"ORTHOMCL2538.1"	943	986	923	879	404	663	456	493	402	531	640	992	713	935	730	792	515	810	513	884	2	5	0	6	2	9	2	7	4	9	3	4	5	3	0	0	6	0	3	1	4	0	1	1	1	13	0	12	0	2	1	12	3	11	1	19	2	12	6	13	0	7	0	6	2	2	1	16	2	9	1	7	0	4
"ORTHOMCL4683"	61	78	66	55	39	61	27	48	21	37	40	50	87	75	83	73	44	71	40	80	61	5	48	4	73	15	55	4	122	23	61	4	90	51	71	32	3	58	7	115	6	71	42	115	133	12	110	17	46	5	91	18	143	39	48	5	68	2	93	12	43	5	69	223	41	52	98	220	69	5	86	15	32	4
"ORTHOMCL8477"	318	320	175	279	142	214	145	181	179	207	356	295	261	217	290	242	150	247	178	261	190	3	28	6	50	9	46	3	479	5	64	5	280	66	66	51	6	241	2	71	5	56	156	108	143	11	313	12	30	2	89	6	422	13	27	11	52	6	285	19	47	2	81	945	18	41	63	653	74	5	283	10	22	5
"ORTHOMCL8932"	381	363	264	367	172	254	212	192	222	267	503	462	349	364	342	278	189	325	208	358	9	8	1	4	4	5	6	4	20	7	2	1	9	3	5	0	8	4	1	5	4	3	7	6	18	16	9	14	4	2	11	11	33	13	2	3	8	12	21	11	3	3	11	76	2	6	3	31	9	2	22	6	2	3
"ORTHOMCL9035"	280	261	132	267	124	200	126	171	157	215	338	304	220	130	237	167	107	217	131	186	205	4	99	6	119	1	99	3	372	4	163	3	156	114	224	119	10	201	1	255	2	149	100	296	422	8	233	5	105	3	261	2	436	9	124	8	177	8	158	11	146	1	228	711	75	108	175	617	147	5	371	9	57	0
"ORTHOMCL329.1"	207	225	121	213	92	164	107	105	81	114	180	188	222	148	209	150	115	220	128	201	36	32	12	53	17	27	13	5	37	19	22	20	63	13	42	27	29	12	17	39	40	20	17	53	52	18	31	15	22	7	25	19	63	8	11	5	21	52	27	38	20	50	20	133	16	14	30	155	12	18	30	36	8	19
"ORTHOMCL5322"	371	386	292	411	224	325	182	239	110	160	252	265	428	361	410	330	205	454	268	462	8	1	3	9	6	5	8	1	13	7	19	1	7	8	8	1	3	4	2	15	5	6	3	17	18	12	4	9	10	1	26	2	39	3	13	11	9	10	13	14	9	2	21	36	0	10	15	34	7	5	17	5	8	4
"ORTHOMCL5050"	205	218	107	244	93	145	113	135	134	156	278	248	236	187	249	163	113	246	143	264	29	1	2	4	7	5	10	2	49	3	14	3	18	12	8	6	4	16	0	8	1	9	12	21	35	4	24	5	5	2	19	3	34	1	0	5	10	6	17	2	6	2	10	82	3	7	7	118	16	2	35	9	1	4
"ORTHOMCL8981"	932	891	604	798	422	644	497	494	588	669	926	950	857	822	884	731	508	785	535	887	66	0	7	3	14	1	28	1	199	9	8	7	203	28	21	0	4	147	2	16	4	37	100	26	60	8	147	5	11	3	43	8	234	5	10	6	20	8	126	5	10	6	63	617	20	28	25	359	59	3	108	4	11	13
"ORTHOMCL3297"	108	128	101	98	42	109	60	76	81	87	129	102	110	141	130	118	72	129	103	157	11	2	1	2	2	4	0	1	12	4	1	3	6	2	2	0	3	18	1	3	4	2	6	5	2	1	10	7	1	0	5	3	17	3	0	2	3	1	14	7	0	0	1	27	0	1	4	18	3	0	7	3	0	0
"ORTHOMCL3453"	570	669	221	562	248	456	198	300	162	333	502	481	622	465	641	445	231	567	292	582	0	3	1	3	4	7	3	2	0	4	1	4	0	4	8	1	4	1	3	3	8	3	0	4	11	12	1	10	4	3	2	10	0	11	1	8	2	6	1	9	0	6	2	1	2	2	6	0	8	4	1	3	3	4
"ORTHOMCL3668"	118	115	80	129	49	85	62	56	58	94	138	157	91	57	79	59	48	73	48	86	19	2	11	1	17	1	29	1	43	2	22	2	15	17	17	6	2	10	1	27	0	26	14	26	38	4	32	9	15	1	30	6	42	8	11	0	16	3	20	6	13	1	28	80	14	14	22	47	16	1	18	1	7	0
"ORTHOMCL8203"	292	304	127	302	119	204	107	166	80	147	288	215	324	155	299	260	123	333	159	322	2	3	3	3	10	4	8	6	2	3	5	3	3	11	13	1	3	3	5	18	9	13	2	16	49	5	7	8	6	0	11	5	7	6	4	8	13	3	8	3	8	4	18	23	5	4	12	6	9	1	8	6	2	3
"ORTHOMCL1165.1"	54	82	26	39	14	37	17	26	22	38	57	78	81	48	69	58	28	43	31	82	1	0	5	2	4	4	6	2	8	1	3	0	0	1	0	1	2	7	2	16	1	4	4	7	11	3	9	7	6	0	6	4	3	5	0	2	1	3	4	3	1	2	5	9	3	5	7	10	1	2	0	1	2	0
"ORTHOMCL8192"	400	361	316	408	220	308	240	245	289	339	578	491	329	300	352	318	165	323	237	344	65	4	10	3	25	2	12	4	145	6	15	4	63	13	18	8	7	47	2	26	4	25	42	34	49	4	80	5	30	2	33	7	124	6	10	4	20	10	83	15	8	5	29	268	11	23	16	231	19	4	93	5	6	4
"ORTHOMCL7545"	212	219	158	226	78	152	100	131	118	147	215	236	232	235	221	187	97	226	126	206	18	0	9	2	29	2	12	3	31	4	12	2	26	11	9	9	2	20	2	16	1	15	14	14	15	1	27	2	3	1	9	4	31	5	4	0	3	3	21	2	6	1	17	42	11	21	11	33	6	5	20	3	7	1
"ORTHOMCL5017"	173	165	103	165	78	101	75	105	62	105	143	167	194	112	215	150	90	212	110	208	101	4	52	1	109	1	40	4	134	4	74	2	58	64	62	37	6	45	0	110	6	52	33	127	125	9	46	12	58	4	147	2	197	7	54	8	55	5	105	5	60	2	112	330	47	44	81	171	46	2	107	7	18	0
"ORTHOMCL5574"	262	253	243	289	120	224	156	205	92	125	226	177	225	375	235	222	144	229	158	213	3	20	2	19	4	58	7	42	36	38	12	35	16	4	8	0	15	1	33	10	33	9	12	19	6	77	16	73	5	15	10	51	13	64	3	16	10	7	1	21	4	7	8	47	1	8	9	19	4	31	25	17	4	9
"ORTHOMCL8971"	86	111	47	75	46	65	38	49	65	80	183	143	69	69	79	51	40	71	41	63	62	0	19	2	20	3	14	0	120	3	20	0	30	35	25	20	2	48	1	56	3	24	34	44	57	6	54	5	16	2	51	0	105	5	18	2	19	0	41	3	15	0	32	174	11	13	21	95	20	3	64	2	7	2
"ORTHOMCL8877"	99	102	68	110	50	65	55	52	58	81	106	113	87	66	105	86	39	90	66	94	4	1	0	0	0	1	2	0	4	6	2	3	1	2	0	0	1	3	0	0	5	3	14	7	4	6	2	2	0	0	0	0	4	7	1	3	2	4	2	1	0	1	1	7	0	1	0	5	0	0	13	1	0	1
"ORTHOMCL8601"	136	142	102	131	58	93	52	64	45	64	101	110	150	114	133	119	59	146	72	148	9	1	8	5	9	2	17	7	23	3	11	1	17	10	30	6	6	13	2	9	5	23	21	24	23	3	25	4	6	1	16	5	35	3	10	4	10	7	27	8	6	4	10	58	8	18	15	50	11	7	14	1	10	5
"ORTHOMCL3392"	198	148	92	183	72	130	80	120	110	130	181	213	262	189	280	199	151	286	160	334	45	3	77	11	77	3	31	1	96	8	87	6	34	52	65	49	6	22	1	42	2	21	7	97	72	3	24	6	22	0	117	7	54	2	44	5	37	5	14	4	46	3	85	137	18	28	82	134	38	1	66	0	10	0
"ORTHOMCL5077"	169	238	156	192	89	125	109	138	72	98	139	134	185	270	222	201	125	235	142	211	11	5	4	9	22	4	15	9	40	14	16	3	42	21	35	2	10	30	3	34	3	33	29	46	66	16	39	8	17	0	44	15	50	13	5	6	28	17	64	7	19	7	30	93	12	18	27	94	15	12	15	7	9	1
"ORTHOMCL3504"	123	176	91	141	55	83	71	72	31	57	70	105	145	156	139	143	76	141	81	142	11	1	12	6	29	1	14	2	20	7	12	3	1	2	2	3	4	3	4	16	1	8	3	15	1	6	2	6	1	1	15	5	8	7	5	7	5	4	13	6	6	0	7	14	4	0	1	3	4	5	3	8	1	1
"ORTHOMCL8906"	247	248	137	241	101	183	88	154	107	115	188	194	296	147	273	203	153	253	116	272	26	1	11	4	22	2	41	4	44	4	23	0	45	23	40	12	3	37	2	36	6	22	15	27	88	14	52	7	25	2	51	8	55	5	9	5	45	4	24	5	9	2	34	81	15	20	23	60	19	5	13	5	11	3
"ORTHOMCL8960"	67	73	47	74	38	51	31	32	39	67	114	77	70	42	52	70	24	63	24	61	5	3	0	2	1	1	2	3	0	3	5	1	4	2	5	1	0	4	2	3	0	2	0	9	4	2	2	2	1	1	5	4	10	1	1	2	0	5	1	4	2	1	3	16	2	3	3	14	4	1	8	4	0	1
"ORTHOMCL251.1"	206	164	159	168	84	147	88	85	44	64	152	168	220	364	244	268	108	259	119	258	16	0	9	4	46	3	38	5	51	4	10	0	54	31	8	10	5	29	0	38	5	39	34	77	36	12	55	4	18	3	36	2	18	2	8	9	11	3	39	7	13	2	32	185	5	22	34	31	31	3	43	1	12	2
"ORTHOMCL5020"	78	102	67	84	37	56	33	36	33	43	89	102	79	103	93	80	39	96	50	86	6	2	16	4	18	1	8	0	12	0	13	2	10	13	22	4	3	10	0	14	4	22	13	46	20	6	9	0	11	2	6	3	8	2	2	1	12	0	27	2	11	2	24	28	7	6	2	5	9	3	13	3	15	4
