gene,mutated_p_updown
evm.TU.chromosome_1.1394,-38.45158848
evm.TU.chromosome_9.1658,-38.28855039
evm.TU.chromosome_9.1604,38.26985407
evm.TU.chromosome_12.201,-38.25994691
evm.TU.chromosome_12.2568,38.15598731
evm.TU.chromosome_12.678,-38.13268921
evm.TU.chromosome_8.1906,38.11316479
evm.TU.chromosome_6.1110,-38.1015359
evm.TU.chromosome_12.1882,-38.07924839
evm.TU.chromosome_12.1542,37.97006815
evm.TU.chromosome_13.2658,-37.86031713
evm.TU.chromosome_2.1831,37.84165061
evm.TU.chromosome_5.2522,-37.82937218
evm.TU.chromosome_14.1681,37.79613991
evm.TU.chromosome_11.2921,37.74344122
evm.TU.chromosome_9.1723,-37.6487856
evm.TU.chromosome_10.1526,37.62502848
evm.TU.chromosome_1.1515,37.62270477
evm.TU.chromosome_6.2099,-37.58829072
evm.TU.chromosome_9.2773,-37.51515869
evm.TU.chromosome_12.1706,-37.4698139
evm.TU.chromosome_11.279,37.39733207
evm.TU.chromosome_14.4972,-37.3662178
evm.TU.chromosome_14.516,37.24863944
evm.TU.chromosome_4.452,37.22652565
evm.TU.chromosome_7.922,37.21062235
evm.TU.chromosome_10.113,-37.20084631
evm.TU.chromosome_4.1101,-37.15416218
evm.TU.chromosome_13.3325,37.1036996
evm.TU.chromosome_13.2505,37.03834105
evm.TU.chromosome_1.1275,-36.91311153
evm.TU.chromosome_3.797,36.85153803
evm.TU.chromosome_12.2491,36.84892237
evm.TU.chromosome_14.6965,36.84483687
evm.TU.chromosome_12.4141,-36.83139242
evm.TU.chromosome_4.1164,-36.783104
evm.TU.chromosome_9.134,-36.76959595
evm.TU.chromosome_11.2000,-36.50470495
evm.TU.chromosome_14.1553,-36.39891933
evm.TU.chromosome_11.1109,-36.37086392
evm.TU.chromosome_7.2144,-36.3624959
evm.TU.chromosome_1.238,-36.35889286
evm.TU.chromosome_9.120,-36.26056088
evm.TU.chromosome_13.3195,-36.24078492
evm.TU.chromosome_5.2116,36.21933513
evm.TU.chromosome_3.1160,36.20263845
evm.TU.chromosome_6.1120,-36.02863198
evm.TU.chromosome_3.380,-35.97772379
evm.TU.chromosome_3.1844,35.96697181
evm.TU.chromosome_8.2753,35.95409635
evm.TU.chromosome_7.2828,35.92330232
evm.TU.chromosome_12.1701,35.83685441
evm.TU.chromosome_12.2662_evm.TU.chromosome_12.2664,35.82476697
evm.TU.chromosome_14.5509,-35.76971151
evm.TU.chromosome_3.727,35.74969044
evm.TU.chromosome_3.322,-35.69876582
evm.TU.chromosome_1.14,35.65657196
evm.TU.chromosome_10.487,-35.638205
evm.TU.chromosome_10.2860,35.62585423
evm.TU.chromosome_2.1054,-35.62732322
evm.TU.chromosome_9.2766,-35.4459564
evm.TU.chromosome_1.389,-35.42261069
evm.TU.chromosome_12.3670,-35.41776291
evm.TU.chromosome_10.2440,35.34533395
evm.TU.chromosome_14.5352,35.27616379
evm.TU.chromosome_12.1878,-35.21861308
evm.TU.chromosome_12.2192,35.20362165
evm.TU.chromosome_4.1351,35.14956014
evm.TU.chromosome_2.1571,-35.14416754
evm.TU.chromosome_4.901,35.1035321
evm.TU.chromosome_11.1003,-35.09905087
evm.TU.chromosome_2.394,35.08770165
evm.TU.chromosome_14.7328,-35.06513484
evm.TU.chromosome_6.2472,35.0305573
evm.TU.chromosome_12.3949,-34.89935518
evm.TU.chromosome_13.2791,-34.90091872
evm.TU.chromosome_9.135,34.76276748
evm.TU.chromosome_14.541,34.679316
evm.TU.chromosome_6.364,34.67112408
