sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
134764	FR8	FR8_R1_NoIll_No4N_ITS.fastq.gz	68f2ad112a3a76f56d2110664768ce1e072cd2bf2e56684fd211815dc62d714a	FR8_R2_NoIll_No4N_ITS.fastq.gz	34ada28b3968b17c682b9c0fa798606b21a6c045723d473f22b22d071bc887fe	1.2543941370101237	1.0111173219054717	0.02627166014533259	1.0111173219054717	0.02627166014533259	0.0	0.0	0.0	0.0	1.0	0.0008695112104838209	0	0.16582820942798582	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134773	HM3	HM3_R1_NoIll_No4N_ITS.fastq.gz	a2e6be3c31887e0faba9cad81105f4dcca928ac0de74dd3bc7a3829480c442ad	HM3_R2_NoIll_No4N_ITS.fastq.gz	fef353e5234a4fcc1354d0c86a03b8268388ade39ec51dc2d163f207693722b1	1.2376739515087753	1.011668499832624	0.023623929989001004	1.011668499832624	0.023623929989001004	0.0	0.0	0.0	0.0	1.0	0.0006695040887571134	0	0.1660848357323897	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134767	HE3	HE3_R1_NoIll_No4N_ITS.fastq.gz	7a8aff90f870de8ed87a0a902077e5e560352fb7009f886b653888a24acff2c3	HE3_R2_NoIll_No4N_ITS.fastq.gz	b3f5f124a92a06db12287fe3ab60969cc1981fa6a6ee43eb75bcd53f407083fe	1.2334609605971016	1.0112441234914942	0.023748364270828284	1.0112441234914942	0.023748364270828284	0.0	0.0	0.0	0.0	1.0	0.0006785246934522367	0	0.1667716764406533	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134741	CF7	CF7_R1_NoIll_No4N_ITS.fastq.gz	c6bc4fb7dd758ea9cd36fddd06abc1b6407dac2d294cc041b8afc7fae82713f8	CF7_R2_NoIll_No4N_ITS.fastq.gz	299c02af542404ca2cd8a5dac0190c269a57c339becccd286303ce8935677af0	1.2917861799217731	1.0149500217296827	0.03033463711429813	1.0149500217296827	0.03033463711429813	0.0	0.0	0.0	0.0	1.0	0.0012168622338113862	0	0.16705780095610603	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134747	CN4	CN4_R1_NoIll_No4N_ITS.fastq.gz	258aed621bde0c068666d402ece1bdeaf3a69170920b7ecf2a1ec80fcda628ae	CN4_R2_NoIll_No4N_ITS.fastq.gz	b3dd5be0f6bd2d2a764216f6fdaa00bec1e47da2d5fe27458e8cdbcc9e3fb724	1.5635415996396629	1.0160221349977478	0.02754005533749437	1.0160221349977478	0.02754005533749437	0.0	0.0	0.0	0.0	1.0	0.001029534778971752	0	0.15951354481693583	0.003667717650086867	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134768	HF9	HF9_R1_NoIll_No4N_ITS.fastq.gz	3a01989df68ca11ec752ebdcd61d8794d4124092b7692d947761b3a0ca7688e4	HF9_R2_NoIll_No4N_ITS.fastq.gz	bb9e650963eaad299ac0bc5cc6fd0572be27961cc2819ef65f62f9a1f7bf6a37	1.2651680103572058	1.0161831342317424	0.02589301477078797	1.0161831342317424	0.02589301477078797	0.0	0.0	0.0	0.0	1.0	0.000882716412640499	0	0.1700111810745601	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134743	CI1	CI1_R1_NoIll_No4N_ITS.fastq.gz	778f2fd03f0d1de8cbc44f438289c265fa1b9460ddc7445c22ec0688c216e04e	CI1_R2_NoIll_No4N_ITS.fastq.gz	71e1438c5de0e08e6338885d67be7056ed9f24f32707acea518815a8b279c409	1.2593692670568708	1.0239072828397542	0.021432107393494656	1.0239072828397542	0.021432107393494656	0.0	0.0	0.0	0.0	1.0	0.00046591537811944907	0	0.17026295099152616	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134772	HL8	HL8_R1_NoIll_No4N_ITS.fastq.gz	6723606f9876b1a88c1e6d0fef7a05d1b3d545cf8e6982986006b01b5897314f	HL8_R2_NoIll_No4N_ITS.fastq.gz	8d7be181a4a50474a1aeed2ffb1d5f1c5ec63ca93b55106d977ec94d4e56c0ca	1.381488736532811	1.0111655239960822	0.03339862879529873	1.0111655239960822	0.03339862879529873	0.0	0.0	0.0	0.0	1.0	0.0013712047012732615	0	0.17100881488736533	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134740	CE11	CE11_R1_NoIll_No4N_ITS.fastq.gz	d8d85c7a52a043abffa69740da1f9cdb5399042fc2a9aae07a8cab4b7bebf6db	CE11_R2_NoIll_No4N_ITS.fastq.gz	26aabe470ad12c1a54af029c6ed2c60b66cdd996023b11d8175b282089436610	1.2131774229817855	1.0136046773105465	0.02855857881718012	1.0136046773105465	0.02855857881718012	0.0	0.0	0.0	0.0	1.0	0.0014616595457611872	0	0.17135147290308075	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134750	CR7	CR7_R1_NoIll_No4N_ITS.fastq.gz	5f52ac1ce079c5040a01df97ec75a0a0585b9055f501e886d4b22aa47222ca07	CR7_R2_NoIll_No4N_ITS.fastq.gz	5c13341ef1b0a6d0b4e42a2bc9b4e0d7e62bc4ce2895aa4d212c5cb84df1a2ee	1.301498127340824	1.0226948457285536	0.024879614767255216	1.0226948457285536	0.024879614767255216	0.0	0.0	0.0	0.0	1.0	0.0006688068485821295	0	0.17166042446941324	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
