sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B2	B2e	1390331_B	22371_B	787438_B	1157383_B	1463665_B	22017_B	64886_B	46221_B	46220_B	1157325_B	1465458_B	1157406_B	B5a	45591_B	47974_B	46283_B	46225_B	1157296_B	1157307_B	1157328_B	1157385_B	1157278_B	787431_B	46226_B	44386_B	1157356_B	61427_B	1778703_B	1778702_B	1465440_B	1465776_B	46272_B	C1	C1t	C1c	21508_C	282233_C	D1	D4	D4c
134764	FR8	FR8_R1_NoIll_No4N_ITS.fastq.gz	68f2ad112a3a76f56d2110664768ce1e072cd2bf2e56684fd211815dc62d714a	FR8_R2_NoIll_No4N_ITS.fastq.gz	34ada28b3968b17c682b9c0fa798606b21a6c045723d473f22b22d071bc887fe	20197	16280	423	16280	423	0	0	0	0	16101	14	0	2670	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	12929	502	239	324	243	315	332	263	178	183	174	147	134	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134773	HM3	HM3_R1_NoIll_No4N_ITS.fastq.gz	a2e6be3c31887e0faba9cad81105f4dcca928ac0de74dd3bc7a3829480c442ad	HM3_R2_NoIll_No4N_ITS.fastq.gz	fef353e5234a4fcc1354d0c86a03b8268388ade39ec51dc2d163f207693722b1	25881	21155	494	21155	494	0	0	0	0	20911	14	0	3473	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	16775	663	393	511	314	423	416	331	161	202	250	206	121	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134767	HE3	HE3_R1_NoIll_No4N_ITS.fastq.gz	7a8aff90f870de8ed87a0a902077e5e560352fb7009f886b653888a24acff2c3	HE3_R2_NoIll_No4N_ITS.fastq.gz	b3f5f124a92a06db12287fe3ab60969cc1981fa6a6ee43eb75bcd53f407083fe	25450	20865	490	20865	490	0	0	0	0	20633	14	0	3441	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	16502	690	456	424	321	367	265	329	205	293	249	162	188	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134741	CF7	CF7_R1_NoIll_No4N_ITS.fastq.gz	c6bc4fb7dd758ea9cd36fddd06abc1b6407dac2d294cc041b8afc7fae82713f8	CF7_R2_NoIll_No4N_ITS.fastq.gz	299c02af542404ca2cd8a5dac0190c269a57c339becccd286303ce8935677af0	14862	11677	349	11677	349	0	0	0	0	11505	14	0	1922	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	9293	290	243	219	171	173	204	168	141	126	141	93	123	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134747	CN4	CN4_R1_NoIll_No4N_ITS.fastq.gz	258aed621bde0c068666d402ece1bdeaf3a69170920b7ecf2a1ec80fcda628ae	CN4_R2_NoIll_No4N_ITS.fastq.gz	b3dd5be0f6bd2d2a764216f6fdaa00bec1e47da2d5fe27458e8cdbcc9e3fb724	24299	15790	428	15790	428	0	0	0	0	15541	16	0	2479	57	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	12556	348	455	487	114	309	129	239	288	140	169	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	39	47	10	0	0	0
134768	HF9	HF9_R1_NoIll_No4N_ITS.fastq.gz	3a01989df68ca11ec752ebdcd61d8794d4124092b7692d947761b3a0ca7688e4	HF9_R2_NoIll_No4N_ITS.fastq.gz	bb9e650963eaad299ac0bc5cc6fd0572be27961cc2819ef65f62f9a1f7bf6a37	21499	17268	440	17268	440	0	0	0	0	16993	15	0	2889	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	13542	557	363	374	208	291	344	258	118	267	225	170	135	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
134743	CI1	CI1_R1_NoIll_No4N_ITS.fastq.gz	778f2fd03f0d1de8cbc44f438289c265fa1b9460ddc7445c22ec0688c216e04e	CI1_R2_NoIll_No4N_ITS.fastq.gz	71e1438c5de0e08e6338885d67be7056ed9f24f32707acea518815a8b279c409	43248	35162	736	35162	736	0	0	0	0	34341	16	0	5847	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	27586	899	666	716	542	561	492	572	393	516	504	326	289	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0
134772	HL8	HL8_R1_NoIll_No4N_ITS.fastq.gz	6723606f9876b1a88c1e6d0fef7a05d1b3d545cf8e6982986006b01b5897314f	HL8_R2_NoIll_No4N_ITS.fastq.gz	8d7be181a4a50474a1aeed2ffb1d5f1c5ec63ca93b55106d977ec94d4e56c0ca	14105	10324	341	10324	341	0	0	0	0	10210	14	0	1746	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	8111	353	195	230	205	139	183	149	149	122	114	90	72	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134740	CE11	CE11_R1_NoIll_No4N_ITS.fastq.gz	d8d85c7a52a043abffa69740da1f9cdb5399042fc2a9aae07a8cab4b7bebf6db	CE11_R2_NoIll_No4N_ITS.fastq.gz	26aabe470ad12c1a54af029c6ed2c60b66cdd996023b11d8175b282089436610	10790	9015	254	9015	254	0	0	0	0	8894	13	0	1524	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	7177	193	148	171	157	145	188	171	0	136	153	71	102	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134750	CR7	CR7_R1_NoIll_No4N_ITS.fastq.gz	5f52ac1ce079c5040a01df97ec75a0a0585b9055f501e886d4b22aa47222ca07	CR7_R2_NoIll_No4N_ITS.fastq.gz	5c13341ef1b0a6d0b4e42a2bc9b4e0d7e62bc4ce2895aa4d212c5cb84df1a2ee	29190	22937	558	22937	558	0	0	0	0	22428	15	0	3850	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3	17948	626	442	455	372	352	366	404	232	329	296	197	208	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
