"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B","Control_1.1","Control_1","Control_2.1","Control_2","Control_3.1","Control_3","Control_4.1","Control_4","Cool_1","Cool_2","Cool_3","Cool_4","Heat_1.1","Heat_1","Heat_2.1","Heat_2","Heat_3.1","Heat_3","Heat_4.1","Heat_4"
"Sym_101136_c0_g1",18.2735404528744,28.708439870463,18.8886493655906,0,59.521240837164,14.3489549318501,40.6539440600341,65.7604270168582,28.5058827841049,20.4276579890343,41.4566192031004,44.8047918484881,40.6000358852517,56.8196675684263,18.8615447625718,33.4172271875602,73.6283889548036,6.91633995125545,18.6997935248401,29.2379193296272,11.0745734417072,26.911579006718,33.7718612425677,30.3495690286935,19.9918270309795,21.6190422661571,25.5286961180225,30.0439726497464,23.2960323548777,32.6991493304183,30.7687326210277,43.9429461604849,29.379897194625,13.6129191131334,31.151093824128,29.8159655097135,28.7871900290825,29.2905753398363,20.5307876664183,28.9409401266115,25.3298833912429
"Sym_101138_c0_g1",118.778012943684,66.9863596977471,138.516762014331,61.0260063001262,107.138233506895,107.617161988876,128.737489523441,92.0645978236014,159.632943590987,105.056526800748,67.8381041505279,78.4083857348541,110.727370596141,147.731135677908,64.1292521927442,152.234034965552,128.849680670906,73.7742928133915,99.7322321324808,99.4089257207325,88.5965875336579,124.43997579463,117.928279225665,97.536477276997,106.378529155671,79.3185131792117,89.3504364130787,68.699275039866,75.4118985508412,120.708561889948,105.250285379515,102.156752649616,116.413232817196,74.1285322615173,122.102279407024,99.8974171517037,97.9007390862468,110.877279120433,118.751942297806,127.881308608238,103.770812602834
"Sym_101210_c1_g3",27.4103106793117,90.9100595897996,94.4432468279531,40.6840042000841,47.6169926697312,86.0937295911007,81.3078881200682,13.1520854033716,85.5176483523147,61.282973967103,60.3005370226914,89.6095836969761,55.3636852980706,53.0316897305312,79.2184880028016,74.2605048612449,64.4248403354532,92.2178660167394,105.965496640761,52.6282547933289,88.5965875336579,67.9047981913697,73.3363070995563,64.5478152892866,63.4602949790725,70.5540365848236,74.6593943074243,77.5019676633586,74.211072140796,75.8341973833106,64.9326357381688,67.256727885501,68.59406960084,63.2381969710105,77.4398677796595,73.2859712995762,76.6443751407218,77.6733880469342,78.3902801808698,80.5875771818246,70.4742723385387
"Sym_101245_c3_g1",0,43.0626598056945,44.0735151863781,33.9033368334034,51.5850753922088,7.17447746592506,40.6539440600341,39.4562562101149,68.4141186818518,35.018842266916,37.6878356391821,56.0059898106101,14.7636494128188,41.667756216846,30.1784716201149,48.2693281598092,0,23.0544665041848,24.9330580331202,5.84758386592544,77.5220140919506,43.913855666001,37.3785648704147,37.6070746659898,16.3236018876805,37.2490255261491,34.6804928395777,31.9576014809404,14.4099169205429,22.9589771894426,38.6200643932899,22.6073034909247,44.3771668922997,35.5173435042662,45.6632499831595,41.1014477820817,40.4478239649134,42.8093024197607,30.7961814996274,43.4114101899172,29.8238949606569
"Sym_101261_c1_g1",91.3677022643722,114.833759481852,62.9621645519688,81.3680084001682,59.521240837164,107.617161988876,74.5322307767292,65.7604270168582,79.8164717954937,87.54710566729,67.8381041505279,44.8047918484881,107.036458242936,90.9114681094821,90.5354148603447,126.242858264116,64.4248403354532,89.9124193663209,105.965496640761,58.4758386592544,110.745734417072,94.1905265235129,96.3973515079116,98.4161749300026,114.448624470928,105.904092182189,97.298049355482,96.2555302090602,103.271071263891,73.7470176388158,76.6035343185586,80.1146317459644,80.395199854748,107.294553373515,84.8210506536497,83.3175110972368,82.2317622349741,87.3973847184588,83.056368286874,87.8816352625153,82.9349407810049
"Sym_101299_c0_g1",63.9573915850605,52.6321397625156,62.9621645519688,67.8066736668069,63.4893235596416,64.5702971933255,94.8592028067462,105.216683226973,51.3105890113888,61.282973967103,67.8381041505279,67.2071877727321,55.3636852980706,30.3038227031607,52.8123253352011,70.5474796181827,82.8319375741541,78.3851861142285,37.3995870496803,58.4758386592544,33.2237203251217,59.142888747322,63.2812545613161,64.767739702538,48.2371606343817,59.1602170121192,65.2667608300386,62.7670256631645,51.8757009139545,92.879498630018,74.6937509144948,82.6579533886934,68.59406960084,32.2997444411619,53.0444328571497,48.485775688693,59.7607489211333,58.93690665546,51.0936647607455,56.7054192724664,45.7572087067613
"Sym_101312_c0_g2",54.8206213586233,23.9236998920525,25.1848658207875,40.6840042000841,35.7127445022984,43.0468647955503,60.9809160900511,39.4562562101149,34.2070593409259,14.5911842778817,30.1502685113457,33.603593886366,36.909123532047,34.0918005410558,22.6338537150862,37.1302524306224,36.8141944774018,32.2762531058588,37.3995870496803,46.7806709274035,66.4474406502434,24.3038678626561,28.1978647268041,28.1503248961795,35.7651951471651,28.1923997119482,33.4763090604257,30.6180612991046,35.3042964553301,61.5718024625962,45.6226035415238,51.5729110886719,39.4600292865047,23.7607315429237,25.7715876617284,27.4474075019325,27.3296107871036,24.7843329798614,24.0303537459214,26.1174337727957,30.4367147201225
"Sym_101326_c0_g1",137.051553396558,148.326939330726,251.848658207875,183.078018900379,222.212632458746,172.187459182201,223.596692330187,223.585451857318,114.02353113642,163.421263912275,218.589446707256,156.816771469708,191.927442366645,238.64260378739,192.387756578233,204.216388368423,257.699361341813,205.184751887245,143.365083690441,204.66543530739,143.969454742194,199.229131406323,183.067532625569,221.243959730911,258.059638831084,174.267009618415,193.391914931812,165.720256781404,154.426276331818,164.539336524339,165.514561685528,184.532114744673,176.894025368475,261.120539351922,197.415365680618,180.428389416257,199.566891214272,215.232365351428,196.908918073375,255.292032824174,183.2331080802
"Sym_101441_c0_g1",82.230932037935,148.326939330726,113.331896193544,135.613347333614,130.946729841761,129.140594386651,128.737489523441,52.6083416134865,102.621178022778,116.729474223053,101.757156225792,134.414375545464,140.254669421779,166.671024867384,192.387756578233,137.381933993303,165.663875148308,175.213945431805,130.898554673881,99.4089257207325,132.894881300487,156.566977089472,138.803442647446,153.507240449479,111.147221841959,144.906013027215,131.015195171738,129.361308988717,107.353881058045,87.3136859780319,113.526013463792,90.0053270232439,132.762715356465,161.251214585571,188.032506095038,164.963098894864,184.505239047157,141.116537062369,146.51516652853,178.586776878846,114.188748513748
"Sym_101501_c0_g1",201.008944981619,100.479539546621,195.182710111103,94.9293431335296,158.723308899104,193.710891579977,135.51314686678,118.368768630345,148.230590477345,178.012448190156,139.444991864974,134.414375545464,206.691091779463,166.671024867384,105.624650670402,215.35546409761,156.460326528958,133.715905724272,168.298141723561,152.037180514061,121.82030785878,171.170159496218,159.241429871913,156.476220028373,179.74303202165,145.928535296561,136.313603800007,135.484921248538,137.134376027167,149.581215022126,136.23121615655,145.958403163282,150.464410737326,185.135699938614,162.636232816732,181.960985774233,162.884480291138,172.185892281143,193.875960804473,155.99872604832,158.107497942113
