"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OL6_C_B","OL7_F_B","OL8_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B","Control_1.1","Control_1","Control_2.1","Control_2","Control_3.1","Control_3","Control_4.1","Control_4","Cool_1","Cool_2","Cool_3","Cool_4","Heat_1.1","Heat_1","Heat_2.1","Heat_2","Heat_3.1","Heat_3","Heat_4.1","Heat_4"
"Sym_101210_c1_g3",25.1862121030366,83.0506273340773,86.3413321259243,36.810803042316,43.4566827689005,77.4142546673464,71.7030945808848,11.9124333864795,71.988720590544,55.4978265519991,55.0199013963003,81.2885433777526,49.7791704476349,48.3735793863596,70.4572538515698,50.5153194474673,50.8508858921885,27.6631227134982,64.6437486522602,58.5336863418783,83.6091812840522,90.6198588487747,47.6381766377687,79.0517597552704,58.3044023328377,62.2997107854377,55.0808595522001,52.6734575048365,59.5688187225508,62.7587510846741,66.2905906981769,63.1306525208251,68.1619995955227,56.810319689477,59.6007166858031,59.6910346110636,52.9298444797514,66.3897572699431,62.6031558859306,66.4333158017966,66.1356973455848,66.6901551095911,68.7462432617882,60.7856306503608
"Sym_101261_c1_g1",92.3494443778008,104.906055579887,57.5608880839495,73.6216060846321,54.3208534611257,103.219006223129,65.7278366991444,59.5621669323974,71.988720590544,79.2826093599987,61.8973890708379,40.6442716888763,99.5583408952698,86.3813917613564,83.8776831566307,54.1235565508579,78.2321321418284,55.3262454269964,109.894372708842,58.5336863418783,81.5189517519509,101.947341204872,52.9313073752985,108.696169663497,82.86826023141,83.9315548081591,86.0699145736319,97.3039619176171,91.5854643314593,83.9581954310022,84.2161075706431,90.2471744089647,68.1619995955227,68.7097785433539,73.0756613278107,71.9836224437687,92.0379279516325,74.605212182946,73.0780933865292,73.0766473819762,76.4955613285166,72.6593356595236,76.8462537971651,73.3808514157509
"Sym_101299_c0_g1",58.7678282404187,48.0819421407816,57.5608880839495,61.3513384038601,57.9422436918674,58.0606910005098,83.6536103443656,95.2994670918358,46.2784632367783,55.4978265519991,61.8973890708379,60.9664075333145,49.7791704476349,27.642045363634,46.9715025677132,54.1235565508579,39.1160660709142,34.5789033918727,61.4115612196472,75.2575967252721,71.0678040914444,33.9824470682905,52.9313073752985,29.6444099082264,51.7231422920881,54.7045299952377,56.0523032832795,41.476405160994,50.8949864460338,55.8321999616164,54.6220938660998,45.3354350317334,85.0402090191759,66.5985842305693,74.3713290818499,61.130707059939,28.1792491865883,46.4062182923682,42.3926882377168,52.3843031158429,50.9621591887655,44.460103406394,49.1192946568366,40.5237537669072
"Sym_101312_c0_g2",50.3724242060732,21.8554282458098,17.2682664251849,36.810803042316,32.5925120766754,32.2559394447277,53.7773209356636,35.7373001594384,30.8523088245189,13.2137682266664,27.5099506981502,30.4832037666572,33.1861136317566,31.0973010340883,20.1306439575914,46.9070823440768,70.4089189276455,41.4946840702473,32.3218743261301,25.0858655750907,27.172983917317,33.9824470682905,37.051915162709,49.407349847044,17.8899040544319,24.227665305448,24.8689595156318,36.2721413955461,24.6183769024675,34.0030691495559,28.748470455842,36.6496741144387,71.0832281496165,42.6077397671077,54.0293453434345,31.3405617716716,20.4647779263816,22.6480108412515,26.9883683838953,26.6822333958035,21.8708239639671,19.965879770464,23.7808001615551,32.4920187860788
"Sym_101326_c0_g1",125.931060515183,135.503655124021,235.999641144193,165.648613690422,206.419243152278,161.279697223638,197.183510097433,202.511367570151,102.841029415063,150.636957783998,202.885886398857,142.254950911067,175.88640224831,221.136362909072,174.465580965792,202.061277789869,195.580330354571,145.231394245866,181.002496226329,242.49670055921,188.120657889117,130.266047095114,185.259575813545,128.459109602314,182.32871126978,166.997835855409,200.11740860235,226.30662131569,158.169882689428,174.21325551933,152.874219365183,143.209131221737,160.018408574251,154.884891856108,174.396879693676,163.901171102735,231.005556069522,182.960401305796,167.106061774256,186.44891254537,196.732770584967,181.133754618642,231.161839124986,171.587065499517
"Sym_101441_c0_g1",67.1632322747642,135.503655124021,103.609598551109,122.70267680772,119.505877614477,116.12138200102,113.529899753068,47.6497335459179,92.5569264735566,105.710145813332,92.8460836062568,121.932815066629,126.107231800675,155.486505170441,171.110473639527,90.2059275847631,144.729444462383,145.231394245866,122.823122439294,150.515193450544,160.9476739718,118.938564739017,89.9832225380075,118.577639632906,141.728825384593,125.080129215825,138.236442932594,99.196421468689,129.34214600571,117.331578114826,117.530511569472,98.2973918445061,83.4173042669016,103.832374837862,84.2184040125478,119.935789394772,142.396282011315,169.7490616484,148.990581626162,168.26143100619,127.980945970966,132.762808782982,160.546362662726,105.87287020183
"Sym_101501_c0_g1",184.698888755602,91.7927986324013,178.438753060244,85.8918737654041,144.855609229668,174.182073001529,119.505157634808,107.211900478315,133.693338239582,161.207972365331,127.233521978945,121.932815066629,185.842236337837,152.031249499987,93.9430051354264,180.411855169526,148.641051069474,159.062955602615,187.466871091555,142.153238258847,123.323542393977,152.921011807307,137.621399175776,108.696169663497,157.486771961035,145.173708774708,143.190805961099,160.070537028171,132.148385859877,123.418547283573,124.294857559082,125.625761559897,145.087684853327,127.823219301323,138.895583233002,140.534179817142,166.182568396952,149.987561992798,166.982827215425,151.598648518198,157.700151740184,177.222912189376,143.100186124991,146.579163400119
"Sym_101501_c0_g2",67.1632322747642,43.7108564916196,74.8291545091344,85.8918737654041,79.6705850763177,109.670194112074,83.6536103443656,47.6497335459179,77.1307720612971,66.0688411333322,48.1424137217628,111.77174714441,99.5583408952698,62.1946020681766,97.2981124616916,79.3812162745915,70.4089189276455,55.3262454269964,61.4115612196472,33.4478207667876,89.8798698803561,96.2836000268231,37.051915162709,108.696169663497,68.3153330990483,68.6450516987693,70.2353817570382,115.913147503158,79.9778358437674,76.821748819367,84.2161075706431,102.322500562277,87.31227567236,64.8712434292,62.839886070901,58.6943383003037,84.2163112572563,60.8387742206167,74.8033772101572,63.383917699419,65.6124718919014,100.858567912653,71.8616319292409,97.6585957896187
"Sym_101543_c0_g2",335.816161373821,275.378395897204,322.340973270118,361.972896582774,257.118706382662,193.535636668366,250.960831033097,369.285434980864,226.250264713138,264.275364533329,206.324630236126,254.026698055477,298.675022685809,248.778408272706,281.829015406279,245.360123030556,203.403543568754,262.799665778233,190.699058524168,225.772790175816,261.278691512663,288.850800080469,222.311490976254,256.918219204629,279.749898633552,284.002076636085,266.175582315747,312.098120964286,329.605626507647,332.894244883924,328.40899779556,322.220545248909,250.251912800705,249.888635931416,212.87821198864,247.06994103392,257.684769177737,233.474347054666,257.806697073557,230.447370879675,232.93997197986,258.115600331565,243.000316061306,234.74570875785
"Sym_101543_c0_g3",209.885100858638,319.089252388823,253.267907569378,245.40535361544,155.719779921894,283.852267113604,268.886604678318,202.511367570151,210.824110300879,190.278262463997,230.395837097008,264.187765977696,179.205013611486,203.860084556801,171.110473639527,216.494226203431,207.315150175845,235.136543064735,161.609371630651,234.134745367513,265.459150576866,260.532094190227,254.070275401433,276.681159143446,220.055089249852,234.008481561351,230.426453012026,346.635507771349,264.296771719754,249.565735918654,268.037209838292,303.366088623562,227.206665318409,221.867329598092,184.632654950586,198.121077772157,252.32749746926,196.726839268126,229.093044866033,193.854593651144,194.11664331655,260.585606076365,196.788717494092,237.301260797204
"Sym_101592_c0_g2",201.489696824293,166.101254668155,189.950930677034,184.05401521158,210.040633383019,161.279697223638,161.331962806991,297.810834661987,164.545647064101,211.420291626663,189.130911049782,162.577086755505,182.523624974661,186.58380620453,224.79219085977,238.143648823775,179.933903926205,207.473420351236,242.414057445976,133.79128306715,311.444200283094,198.230941231695,195.845837288605,158.103519510541,276.876390728436,247.276012561953,251.118204484016,282.134178072313,259.959855581496,263.838629141924,270.912056883876,255.064784010313,215.846332052488,202.866580783031,274.551997080906,216.726075573008,166.396859265291,108.244169461864,131.984212507543,134.718051880037,120.446499437924,120.824447683117,127.523242787728,114.087144614041
"Sym_101592_c0_g3",83.9540403434553,118.019312527373,126.633953784689,165.648613690422,94.1561459992845,129.023757778911,35.8515472904424,71.4746003188769,169.687698534854,179.707247882664,96.2848274435256,71.1274754555336,122.788620437499,72.5603690795393,100.653219787957,155.154195445793,101.701771784377,69.1578067837455,129.28749730452,66.8956415335752,117.052853797673,135.929788273162,111.155745488127,148.222049541132,96.1234741163,96.6222366348223,97.0472287348287,170.321359596477,98.7286203238851,133.913321712448,81.6794778245394,98.7210874990083,79.846913811898,90.3975019383231,104.819521301771,119.160581153069,160.182424083458,129.226885388317,136.174187507782,126.114392948329,143.991644853678,139.761158393248,158.157898017679,110.801434849156
"Sym_101757_c0_g1",67.1632322747642,148.616912071507,195.707019485428,128.837810648106,133.991438537443,83.865442556292,125.480415516548,119.124333864795,118.267183827322,142.708696847998,134.111009653482,81.2885433777526,129.425843163851,158.941760840896,124.138971071813,155.154195445793,117.348198212743,82.9893681404946,177.770308793716,142.153238258847,154.676985375497,198.230941231695,153.500791388366,108.696169663497,143.582701452409,135.94412199168,132.31063617301,158.335782439688,132.913724001923,137.901335995421,121.420010513497,133.887826822689,100.944675591465,133.581021972554,139.15471678381,156.370576754771,178.39714789228,134.222770132711,143.321791919955,135.698215555801,134.678231778113,143.672000822514,142.06172323584,127.047444242196
"Sym_101806_c0_g1",151.117272618219,113.648226878211,109.365687359504,73.6216060846321,108.641706922251,96.767818334183,155.35670492525,23.824866772959,107.983080885816,100.424638522665,85.9685959317193,91.4496112999717,73.0094499898645,82.9261360909021,87.232790482896,93.8141646881536,86.0553453560112,62.2420261053709,106.662185276229,108.70541749206,131.684460522382,84.9561176707263,127.035137700716,59.2888198164528,103.168203174004,105.75568188886,99.8644155549589,163.066931317368,89.6721189763453,91.9342239969474,91.1495622099932,96.3907613992463,73.0307138523457,82.3365781986001,79.9427004242184,89.9241560374465,147.324971983114,97.2532230241975,96.6158941231685,93.1155491976001,96.1688383870133,123.911954864117,101.769363136786,97.6585957896187
"Sym_101851_c0_g1",386.188585579894,257.894053300556,322.340973270118,306.7566920193,412.838486304555,270.949891335712,262.911346796578,690.92113641581,195.397955888619,285.417393695995,330.119408377802,213.382426366601,288.719188596282,407.720169113602,288.53923005881,335.566050615319,414.63030035169,235.136543064735,252.110619743815,259.220610942604,250.827543852157,243.540870656082,301.708452039202,237.155279265811,267.514316585961,333.03425642092,285.507312564226,450.08996322995,317.23265987791,453.374255327412,321.137325856729,506.95185061186,278.490455490278,287.890133561539,324.046505285203,282.951008221276,242.470117525663,264.448832469907,259.778450014846,275.317085814659,261.717371932449,277.875646289963,270.727275201634,252.999651896096
"Sym_101880_c0_g1",100.744848412146,118.019312527373,115.121776167899,110.432409126948,105.02031669151,174.182073001529,107.554641871327,190.598934183672,87.4148750028034,163.850726010664,123.794778141676,182.899222599943,142.700288616553,152.031249499987,177.820688292057,97.4224017915441,132.994624641108,159.062955602615,148.680621900199,91.9815071086659,135.864919586585,141.593529451211,121.742006963187,128.459109602314,149.14432965586,137.193961868549,142.802228468667,119.067246754945,128.704364220672,108.096176617415,126.662378655445,100.839565771519,103.216742244649,121.873489874385,111.297860071967,130.013496536899,179.575747668144,172.524553173063,170.926333098003,175.340390886709,166.804274634276,151.082018056913,170.61945268749,142.19821704694
"Sym_101976_c0_g1",83.9540403434553,122.390398176535,80.5852433175294,165.648613690422,50.699463230384,122.572569889965,113.529899753068,178.686500797192,133.693338239582,158.565218719997,106.601058955332,152.416018833286,106.195563621621,107.112925784082,117.428756419283,104.638875998325,113.436591605651,103.736710175618,87.2690606805513,167.239103833938,108.691935669268,147.257270629259,121.742006963187,148.222049541132,111.325257872398,121.715175701179,111.13316283548,183.410871491392,132.5310549309,133.913321712448,127.507921904146,152.318587793534,106.462551749197,92.7006230068154,93.8063453924378,100.334095283161,135.538974224465,111.019660986527,132.846854419357,106.075491132705,110.400570727202,149.229513748313,115.061688117917,129.60299628155
"Sym_102324_c0_g5",50.3724242060732,65.5662847374295,86.3413321259243,73.6216060846321,54.3208534611257,64.5118788894554,41.8268051721828,47.6497335459179,56.5625661782846,68.7115947786655,61.8973890708379,81.2885433777526,43.1419477212836,48.3735793863596,80.5225758303655,43.2988452406863,54.7624924992799,62.2420261053709,38.7862491913561,16.7239103833938,81.5189517519509,73.6286353146295,47.6381766377687,39.5258798776352,62.6610110922071,61.3382954955389,59.3552119689493,73.0173976788601,59.9514877935736,56.0420954501939,69.5036550432416,67.791304720349,55.8279234782376,52.0121507967847,57.3980815039364,49.5025834344071,72.8588952352853,60.061636593711,59.2758227975051,58.0474710202583,63.2056348049576,61.3384759958585,64.0731602606093,71.7379965333087
"Sym_102382_c3_g3",520.515050129423,760.568902954182,633.169768923445,588.972848677057,579.422436918674,619.314037338771,442.16908324879,440.760035299741,647.898485314896,581.405801973324,608.657659196572,538.536599877611,547.570874923984,532.109373249955,644.180606642924,541.235565508579,575.006171242439,594.757138340211,446.041865700596,426.459714776542,673.05390933662,617.347788407278,545.192465965575,681.821427889207,628.278599383106,617.228616114984,570.528903262912,732.539551227441,621.837240412067,666.628071722157,614.033507206837,644.441090497818,519.654101678247,573.09329254317,561.412837825184,565.791272408022,693.230959076906,571.52921475864,591.649116945576,601.929403994311,550.328532184225,597.12388880532,574.996901722842,525.896101812881
"Sym_102395_c0_g1",151.117272618219,192.327768563126,132.390042593084,98.1621414461761,130.370048306702,212.889200335203,65.7278366991444,83.3870337053563,200.540007359373,103.067392167998,123.794778141676,233.704562211039,146.018899979729,120.933948465899,271.763693427484,155.154195445793,132.994624641108,200.557639672862,113.126560141455,158.877148642241,209.022953210131,113.274823560968,89.9832225380075,227.273809296402,120.316556801309,114.792985613908,113.367483416962,131.368233836913,106.764670815364,102.6388939144,110.597056930122,102.746196216779,135.025675389226,117.2672477374,108.058690686869,112.18370697775,271.720821053947,215.489161974849,243.018550013888,223.150596848986,218.394304367461,288.990672141561,239.677234816023,286.769446701852
"Sym_102471_c7_g1",184.698888755602,113.648226878211,138.146131401479,245.40535361544,217.283413844503,174.182073001529,167.307220688731,369.285434980864,221.108213242385,237.847828079996,292.293226167845,121.932815066629,129.425843163851,272.965197965886,144.269615029405,158.762432549183,262.077642675125,117.568271532367,93.7334355457773,234.134745367513,160.9476739718,152.921011807307,211.725229501194,266.799689174038,137.279522821832,161.613910231976,159.025338777692,229.776130492655,167.353940393976,262.159465233304,131.735638147653,221.38097947739,145.087684853327,161.794255061585,97.8229154299594,145.296173301884,184.933019376621,281.101781617886,291.080027957811,229.249393053741,199.662833125595,292.901514570827,255.565717020031,264.499636073192
"Sym_102539_c1_g2",75.5586363091097,74.3084560357534,92.0974209343193,61.3513384038601,47.0780729996423,64.5118788894554,89.628868226106,35.7373001594384,51.4205147075314,52.8550729066658,79.0911082571817,30.4832037666572,56.4163931739862,89.8366474318106,57.0368245465089,68.55650496442,27.3812462496399,62.2420261053709,54.9471863544212,50.1717311501814,54.3459678346339,39.6461882463389,79.3969610629478,49.407349847044,64.2368057498514,69.5103254596781,60.1323669538128,57.7200163076951,52.425662730125,51.4243947014888,50.9017035718144,58.0463046667989,45.1167521132269,54.1233451095693,65.9494886805951,71.9836224437687,71.3588591569118,63.5032460842934,57.0576007385548,63.6017318495888,62.7870544420109,54.3401263855927,61.5808493266472,48.7380281791181
"Sym_102539_c1_g5",235.071312961675,271.007310248042,218.731374719008,190.189149051966,195.555072460052,232.242764002039,340.589699259203,202.511367570151,205.682058830126,195.563769754663,230.395837097008,243.865630133258,288.719188596282,228.046874249981,228.147298186036,248.968360133946,152.552657676565,269.715446456607,252.110619743815,326.116252476179,181.849969292814,186.903458875598,238.190883188843,187.747929418767,262.879626416419,242.757360699429,253.643958184823,191.611529546037,246.183769024675,226.057441197973,238.443196133748,163.334674810591,229.478731971593,204.401994828692,275.977231610349,202.218607049726,279.649583182492,216.044260279781,245.113537514008,251.902064671402,244.032351597949,237.943886749035,224.827215501165,243.142522601443
"Sym_102539_c1_g9",75.5586363091097,65.5662847374295,63.3169768923445,67.4864722442461,76.049194845576,45.1583152226187,155.35670492525,47.6497335459179,35.994360295272,58.1405801973324,75.652364419913,40.6442716888763,86.2838954425672,93.2919031022649,80.5225758303655,93.8141646881536,70.4089189276455,69.1578067837455,61.4115612196472,50.1717311501814,50.1655087704313,67.964894136581,100.569484013067,39.5258798776352,64.422193356633,56.8196436330149,66.3496068327208,117.647902091641,64.7986293598626,60.2400052217441,75.929783733371,94.2722831267354,71.4078091000714,59.8811477808,66.5973225576147,57.586897955015,84.1091658230868,53.6224962564925,73.5710316218515,63.2750106243341,67.077503162215,83.1568600749222,59.6077698372605,75.0237062981931
"Sym_102636_c0_g1",209.885100858638,236.038625054746,235.999641144193,312.891825859686,271.604267305628,174.182073001529,328.639183495722,238.24866772959,246.818470596151,314.487683794661,312.925689191458,223.54349428882,311.949468138512,304.062498999974,254.988156796157,339.174287718709,262.077642675125,193.641858994487,332.91530555914,317.754297284482,225.744789466941,266.195835368276,254.070275401433,247.03674923522,320.257090715348,302.8458163181,308.239095871483,310.678776300982,313.278412810674,293.64378851993,312.512784719977,293.832936397263,293.421179211202,293.647936232769,261.724886315918,267.446843387233,283.078237075918,255.456239929998,251.521734573198,258.109767951242,247.380994501523,231.768872387036,246.946475040079,240.952049424854
"Sym_102664_c0_g1",92.3494443778008,135.503655124021,120.877864976294,184.05401521158,144.855609229668,64.5118788894554,35.8515472904424,166.774067410713,123.409235298075,126.852174975998,123.794778141676,91.4496112999717,109.514174984797,79.4708804204479,171.110473639527,133.504772825449,97.7901651772855,103.736710175618,100.197810411003,100.343462300363,129.594230990281,158.584752985356,105.862614750597,88.9332297246792,133.108301669245,120.465335824311,128.813438741124,93.3613378528838,108.805572527486,145.037782607056,100.112320646226,71.8164134381198,72.0569710009811,145.480480826431,107.540423585253,160.025129894224,114.217032824727,146.656972163202,129.27305221327,121.649202869847,120.551144528661,101.270235536786,125.550163298341,98.936371809296
"Sym_102695_c0_g1",50.3724242060732,61.1951990882675,86.3413321259243,98.1621414461761,108.641706922251,19.3535636668366,59.752578817404,71.4746003188769,82.2728235320503,89.8536239413318,103.162315118063,60.9664075333145,126.107231800675,124.389204136353,77.1674685041003,122.680061515278,101.701771784377,41.4946840702473,100.197810411003,41.8097759584845,62.7068859630391,135.929788273162,79.3969610629478,98.814699694088,124.951246970851,87.777215967754,92.8700206911875,121.590526156374,92.7334715445277,71.5743616049294,79.9883913271369,101.475109253272,63.9424472396094,83.6800654885539,47.4214397978346,105.539064906018,90.8593281757676,72.495838624202,77.8842411809215,70.5717846550232,76.2862711470432,81.7160233904557,82.3501071096648,76.8491006120177
"Sym_102774_c0_g1",193.094292789947,249.151882002232,247.511818760983,294.486424338528,322.303730536012,309.657018669386,239.010315269616,202.511367570151,375.369757364979,277.489132759995,240.712068608814,182.899222599943,245.577240874999,266.054686624978,271.763693427484,285.050731167851,238.608003032577,221.304981707986,242.414057445976,117.067372683757,305.173511686791,288.850800080469,269.949667614022,266.799689174038,235.442260612731,237.758001191956,233.729361697696,356.413215451887,282.792443485857,282.519327625322,286.131835360498,332.812936611464,262.261407967535,235.686056009046,274.163296754694,217.944259952826,325.722119875393,219.59688943135,286.766818398741,239.377751036637,242.881255599845,290.019841201895,249.750324840787,324.190030135258
"Sym_102797_c0_g2",83.9540403434553,34.9686851932957,80.5852433175294,104.297275286562,90.5347557685428,51.6095031115643,71.7030945808848,107.211900478315,20.5682058830126,81.925363005332,99.7235712807943,71.1274754555336,109.514174984797,93.2919031022649,36.9061805889175,90.2059275847631,70.4089189276455,34.5789033918727,132.519684737133,33.4478207667876,41.8045906420261,62.3011529585326,79.3969610629478,19.7629399388176,82.4974850178466,80.951167409473,78.4926534712128,66.3937892501082,85.7178719091095,86.2670458053547,90.980453560253,98.9329353262594,83.7418852173564,70.0532658333077,86.9393062960301,77.077848032097,41.2509921552719,61.3938725255494,49.9099963263817,53.473373866692,59.438411538437,57.015965942459,52.4423759021194,53.8491322578272
