"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B"
"Sym_118130_c1_g1",1.5887474947617,3.2818413611239,1.06498267673079,0,1.96709168513449,1.26665245298644,1.15869759456853,0,0,0.971459222211863,1.25098038029927,2.049385485081,1.85867564598541,1.24998112386131,0.666821643805785,1.84537402869091,0,2.69573114264758,0,0,1.9432715206736
"Sym_118133_c3_g1",1.5887474947617,8.20460340280976,3.19494803019236,3.48372718743772,1.96709168513449,8.86656717090511,3.47609278370559,6.87880616736461,8.84108687094994,5.34302572216525,2.50196076059854,6.14815645524299,4.33690984063262,3.74994337158393,7.33503808186363,6.15124676230302,4.73487989570992,6.54677563214412,3.16414627319176,1.97855314217427,13.6029006447152
"Sym_118140_c4_g1",1.5887474947617,0.820460340280975,0,0,1.31139445675633,1.26665245298644,2.31739518913706,0,0.982342985661104,0.971459222211863,0.625490190149635,4.09877097016199,0,1.87497168579196,0.666821643805785,1.2302493524606,1.57829329856997,1.15531334684896,2.1094308487945,0,0
"Sym_118143_c0_g3",0,0,0,0,0.655697228378164,0,0,0,0.982342985661104,0.485729611105931,1.25098038029927,0,0,1.24998112386131,0.666821643805785,1.2302493524606,0,0.770208897899308,0,0,0
"Sym_118148_c4_g1",4.76624248428509,6.5636827222478,2.12996535346157,2.32248479162515,1.31139445675633,1.26665245298644,8.11088316197971,0,0.982342985661104,1.94291844442373,1.8764705704489,2.049385485081,0.619558548661802,1.24998112386131,2.00046493141735,1.2302493524606,1.57829329856997,3.46594004054689,4.21886169758901,2.9678297132614,1.9432715206736
"Sym_118152_c0_g1",0,0,0,0,0,0,0,0,0,0,0.625490190149635,0,0,0,0,0,1.57829329856997,0,0,0,0
"Sym_118156_c1_g2",0,0,0,0,0.655697228378164,0,0,4.58587077824307,0.982342985661104,0.971459222211863,0,0,0,1.24998112386131,1.33364328761157,0,0,0.385104448949654,1.05471542439725,0.989276571087134,0
"Sym_118173_c0_g1",7.94373747380849,3.2818413611239,3.19494803019236,5.80621197906287,5.90127505540347,2.53330490597289,3.47609278370559,16.0505477238508,2.94702895698331,5.82875533327118,5.00392152119708,4.09877097016199,5.57602693795622,6.8748961812372,0.666821643805785,9.84199481968484,6.31317319427989,2.31062669369792,3.16414627319176,3.95710628434854,3.8865430413472
"Sym_118178_c0_g1",1.5887474947617,0,0,0,0,0,0,0,0,0,0,0,0,0.624990561930655,0.666821643805785,0.615124676230302,0,0,0,0,0
"Sym_118195_c3_g1",0,0,0,0,0.655697228378164,1.26665245298644,1.15869759456853,0,0.982342985661104,0,0,0,0,0.624990561930655,0.666821643805785,0.615124676230302,0,0.770208897899308,2.1094308487945,0.989276571087134,0
"Sym_118206_c0_g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sym_118211_c0_g1",0,4.10230170140488,2.12996535346157,5.80621197906287,2.62278891351266,2.53330490597289,1.15869759456853,0,0,3.40010727774152,2.50196076059854,0,4.95646838929442,1.87497168579196,2.66728657522314,5.53612208607272,1.57829329856997,2.31062669369792,3.16414627319176,2.9678297132614,0
"Sym_118222_c0_g1",3.1774949895234,4.10230170140488,1.06498267673079,2.32248479162515,1.96709168513449,0,0,2.29293538912154,2.94702895698331,0.485729611105931,0.625490190149635,2.049385485081,1.2391170973236,4.37493393351458,2.66728657522314,1.84537402869091,0,2.69573114264758,0,2.9678297132614,1.9432715206736
"Sym_118243_c5_g1",0,3.2818413611239,2.12996535346157,3.48372718743772,1.31139445675633,3.79995735895933,5.79348797284265,2.29293538912154,0,1.45718883331779,1.25098038029927,0,2.47823419464721,1.24998112386131,5.33457315044628,1.84537402869091,4.73487989570992,2.31062669369792,0,4.94638285543567,0
"Sym_118252_c0_g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666821643805785,0,0,0,0,0,0
"Sym_118254_c4_g2",0,0.820460340280975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sym_11825_c0_g1",0,0,2.12996535346157,1.16124239581257,0.655697228378164,0,1.15869759456853,0,1.96468597132221,0.485729611105931,0,2.049385485081,0,0.624990561930655,0,0.615124676230302,0,0,0,0,0
"Sym_118275_c1_g1",0,0,1.06498267673079,0,0,0,0,0,0,1.94291844442373,0,0,0.619558548661802,0,0,0,1.57829329856997,0.385104448949654,0,0,0
"Sym_118284_c5_g3",0,0,0,0,0,0,0,0,0.982342985661104,0,0,0,0,0,0,0,0,0,0,0,0
"Sym_118306_c3_g1",0,1.64092068056195,1.06498267673079,0,1.96709168513449,2.53330490597289,1.15869759456853,0,7.85874388528883,0.485729611105931,0.625490190149635,0,1.2391170973236,1.24998112386131,0,2.46049870492121,1.57829329856997,0.770208897899308,1.05471542439725,0.989276571087134,0
"Sym_118307_c1_g1",0,0,0,0,0,0,0,0,0,0,0,2.049385485081,0.619558548661802,0,0,0.615124676230302,0,0,0,1.97855314217427,0
"Sym_118320_c8_g1",0,0.820460340280975,0,0,0,0,1.15869759456853,0,0,0,0,2.049385485081,0,0,0,0,1.57829329856997,0,0,1.97855314217427,0
"Sym_118341_c1_g2",22.2424649266638,37.7411756529249,31.9494803019236,42.9659686450652,33.4405586472864,46.8661407604984,18.5391615130965,36.6869662259446,42.2407483834275,51.4873387772287,36.2784310286788,22.5432403358909,24.7823419464721,29.3745564107408,38.6756553407355,20.2991143156,14.2046396871297,38.8955493439151,36.9150398539038,18.7962548506556,58.298145620208
"Sym_118341_c1_g3",6.35498997904679,11.4864447639337,9.58484409057707,12.7736663539383,7.86836674053797,11.399872076878,13.9043711348224,6.87880616736461,4.91171492830552,10.2003218332246,7.50588228179562,4.09877097016199,6.19558548661802,8.12487730509851,10.0023246570868,4.92099740984242,9.46975979141983,10.3978201216407,5.27357712198626,2.9678297132614,5.8298145620208
"Sym_118341_c1_g6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.624990561930655,0,0.615124676230302,0,0,0,0,1.9432715206736
"Sym_118361_c0_g1",3.1774949895234,4.10230170140488,3.19494803019236,2.32248479162515,0.655697228378164,2.53330490597289,2.31739518913706,0,2.94702895698331,1.45718883331779,3.12745095074817,4.09877097016199,0,1.24998112386131,2.00046493141735,1.84537402869091,4.73487989570992,3.46594004054689,0,0.989276571087134,5.8298145620208
"Sym_118361_c2_g1",3.1774949895234,0,1.06498267673079,4.64496958325029,3.27848614189082,0,5.79348797284265,4.58587077824307,1.96468597132221,0.971459222211863,3.75294114089781,2.049385485081,0,0.624990561930655,2.00046493141735,1.2302493524606,3.15658659713994,2.69573114264758,2.1094308487945,4.94638285543567,3.8865430413472
"Sym_118383_c0_g1",1.5887474947617,0.820460340280975,1.06498267673079,1.16124239581257,0,0,4.63479037827412,0,0.982342985661104,0.485729611105931,0,0,0.619558548661802,0.624990561930655,1.33364328761157,2.46049870492121,1.57829329856997,1.15531334684896,0,2.9678297132614,0
"Sym_118388_c0_g1",1.5887474947617,4.92276204168585,0,1.16124239581257,1.96709168513449,1.26665245298644,2.31739518913706,0,2.94702895698331,0,0.625490190149635,0,0,1.24998112386131,0.666821643805785,1.2302493524606,3.15658659713994,1.15531334684896,1.05471542439725,4.94638285543567,0
