"","OC4_F_B.host","OC4_F_B.sym","OC5_H_B.host","OC5_H_B.sym","OC9_C_B.host","OC9_C_B.sym","OD4_C_B.host","OD4_C_B.sym","OD5_F_B.host","OD5_F_B.sym","OD6_H_B.host","OD6_H_B.sym","OE10_F_W.host","OE11_C_W.host","OE3_H_W.host","OF7_C_B.host","OF7_C_B.sym","OF8_F_B.host","OF8_F_B.sym","OF9_H_B.host","OF9_H_B.sym","OH1_C_W.host","OH11_F_W.host","OH15_H_W.host","OI1_C_B.host","OI1_C_B.sym","OI2_F_B.host","OI2_F_B.sym","OI3_H_B.host","OI3_H_B.sym","OJ13_C_B.host","OJ13_C_B.sym","OJ14_F_B.host","OJ14_F_B.sym","OJ15_H_B.host","OJ15_H_B.sym","OM1_C_B.host","OM1_C_B.sym","OM2_F_B.host","OM2_F_B.sym","OM3_H_B.host","OM3_H_B.sym","ON4_C_W.host","ON5_F_W.host","ON6_H_W.host","OQ1_C_W.host","OQ11_H_W.host","OQ4_F_W.host","OR7_C_B.host","OR7_C_B.sym","OR8_F_B.host","OR8_F_B.sym","OR9_H_B.host","OR9_H_B.sym"
"ORTHOMCL5138",43.6508681426293,0,14.5490834043066,9.86973180431013,20.6940198681217,4.72090889099754,33.5726201270252,6.56142108821994,47.9405678775385,5.39879086631529,20.6816011172906,0,25.186864217255,10.5217800201396,20.7211258089651,6.33276161712025,10.2325141858072,42.5096653221814,4.73056288317437,17.7231983828832,9.83834931491163,13.3944745123971,28.1283093873878,16.2013150724108,14.9687344315587,0,37.8958423756619,1.63284435416184,23.9253029288863,5.35246248635207,13.1622269907818,5.88263981354772,24.0987485855529,11.1758128069934,8.57885291194393,4.21931156847229,9.68643181269472,7.83460755848864,29.0896302198265,0,13.1317594878139,6.1090700979251,12.2195512634252,26.1972734466518,6.20039837415197,16.5289532510728,8.92848808848857,30.699793148799,20.6731567383436,6.51699102313027,36.111705387631,0,17.3524267783986,0
"ORTHOMCL2235",7.17548517413084,14.6813953497135,0,0,1.25418302231041,2.36045444549877,0,16.4035527205499,2.59138204743451,1.79959695543843,3.69314305665903,7.64630971583131,2.28971492884137,2.4757129459152,1.44565994016036,1.26655232342405,7.67438563935537,1.28817167642974,4.73056288317437,2.36309311771776,0,1.91349635891388,2.41099794749038,1.65319541555212,2.02965890597405,19.5130611506943,4.04712879740079,6.53137741664735,8.28183562922988,5.35246248635207,1.73187197247129,17.6479194406432,3.66720087171457,7.45054187132892,1.90641175820976,16.8772462738891,3.22881060423157,15.6692151169773,11.8176622768045,9.73560184842004,1.64146993597674,8.14542679723346,0.814636750895014,1.09155306027716,0,2.0661191563841,5.80351725751757,5.35278444645726,2.13860242120796,13.0339820462605,3.65174548863684,16.3305649756195,4.62731380757296,14.4572107132755
"ORTHOMCL7902",10.165270663352,7.34069767485677,6.71496157121844,3.94789272172405,15.6772877788801,7.08136333649631,1.63768878668415,0,0.323922755929314,5.39879086631529,2.21588583399542,3.82315485791566,12.3644606157434,9.90285178366081,7.22829970080179,0,2.55812854645179,0.64408583821487,4.73056288317437,0.39384885295296,0,1.27566423927592,1.60733196499359,0.661278166220848,6.34268408116892,8.36274049315471,8.09425759480157,4.89853306248551,0.92020395880332,0,2.07824636696555,3.92175987569848,2.61942919408184,7.45054187132892,1.90641175820976,4.21931156847229,5.38135100705262,9.7932594481108,2.72715283310873,3.24520061614001,4.92440980793023,9.16360514688765,1.62927350179003,1.2279971928118,1.03339972902533,2.0661191563841,2.67854642654657,2.83382705988914,1.42573494747197,16.2924775578257,1.62299799494971,0,2.31365690378648,4.8190702377585
"ORTHOMCL5536",1.19591419568847,7.34069767485677,5.5958013093487,5.92183908258608,1.88127453346561,9.44181778199508,5.73191075339454,19.6842632646598,3.56315031522245,8.99798477719215,4.43177166799084,7.64630971583131,0,0.618928236478801,0.963773293440238,6.33276161712025,15.3487712787107,2.57634335285948,4.73056288317437,2.36309311771776,7.37876198618372,1.91349635891388,0,1.3225563324417,0,11.1503206575396,0,16.3284435416184,0,0,2.07824636696555,17.6479194406432,2.35748627467365,13.0384482748256,4.76602939552441,14.767590489653,3.58756733803508,13.7105632273551,5.45430566621746,16.2260030807001,4.92440980793023,9.16360514688765,1.22195512634252,0.955108927742515,2.06679945805066,0.688706385461368,0.892848808848857,0.629739346642031,0.712867473735987,3.25849551156513,1.21724849621228,10.8870433170797,3.47048535567972,9.63814047551699
"ORTHOMCL2374",25.7121552073022,11.0110465122852,45.8855707366593,7.8957854434481,36.9983991581571,2.36045444549877,54.8625743539192,3.28071054410997,32.7161983488607,5.39879086631529,79.0332614125033,11.469464573747,14.6541755445847,53.8467565736557,55.4169643728137,58.2614068775063,0,25.1193476903799,14.1916886495231,42.1418272659667,17.2171113010954,31.25377386226,16.8769856324327,37.6928554745884,57.8452788202606,5.5751603287698,18.7639607879491,3.26568870832367,56.1324414870025,16.0573874590562,54.3807799355985,11.7652796270954,21.4793193914711,11.1758128069934,65.7712056582368,10.5482789211807,55.6072937395438,9.7932594481108,49.9978019403268,9.73560184842004,49.2440980793023,6.1090700979251,51.7294336818334,31.6550387480376,35.1355907868612,39.256263971298,42.4103184203207,23.6152254990762,45.6235183191032,3.25849551156513,19.8817254381339,5.44352165853984,19.6660836821851,4.8190702377585
"ORTHOMCL8696",66.3732378607102,7.34069767485677,73.8645772834028,9.86973180431013,82.1489879613318,2.36045444549877,79.4279061541815,6.56142108821994,72.5586973281663,5.39879086631529,47.2722311252356,0,86.0932813244354,60.0360389384437,49.1524379654522,49.3955406135379,0,104.985991629024,4.73056288317437,39.7787341482489,7.37876198618372,88.0208325100383,101.261913794596,54.55544871322,48.2043990168838,1.39379008219245,74.320001552269,1.63284435416184,81.8981523334954,5.35246248635207,63.3865141924492,3.92175987569848,57.3654993503922,13.0384482748256,42.8942645597197,8.43862313694457,50.5846994662947,5.87595566886648,53.6340057178051,0,34.4708686555116,7.12724844757928,59.8758011907835,66.3118484118375,58.9037845544437,74.3802896298277,51.3388065088093,70.373371987247,59.8808677938229,0,75.8751562638988,8.16528248780975,42.8026527200499,4.8190702377585
"ORTHOMCL3377",10.7632277611963,14.6813953497135,1.11916026186974,9.86973180431013,2.50836604462082,11.8022722274938,6.55075514673662,3.28071054410997,19.7592881116882,5.39879086631529,4.43177166799084,0,14.6541755445847,4.33249765535161,7.22829970080179,2.5331046468481,2.55812854645179,7.08494422036357,4.73056288317437,3.54463967657664,2.45958732872791,4.46482483746571,9.64399178996152,2.97575174799382,2.79078099571433,8.36274049315471,16.9243567891306,4.89853306248551,4.6010197940166,5.35246248635207,4.15649273393109,0,9.16800217928642,3.72527093566446,1.90641175820976,2.10965578423614,1.79378366901754,5.87595566886648,9.09050944369577,3.24520061614001,6.56587974390697,5.09089174827091,2.44391025268504,7.36798315687083,4.13359891610131,2.75482554184547,4.01781963981986,5.98252379309929,4.99007231615191,3.25849551156513,7.30349097727368,5.44352165853984,3.47048535567972,4.8190702377585
"ORTHOMCL1650.1",0.597957097844236,3.67034883742839,0,1.97394636086203,1.25418302231041,16.5231811184914,5.73191075339454,55.7720792498695,0.971768267787942,16.1963725989459,0.738628611331806,19.1157742895783,2.28971492884137,2.4757129459152,2.89131988032072,1.26655232342405,12.790642732259,1.93225751464461,28.3833772990462,2.36309311771776,49.1917465745582,1.27566423927592,3.21466392998717,2.31447358177297,2.28336626922081,29.2695917260415,1.47168319905483,22.8598209582657,0.92020395880332,58.8770873498728,0.346374394494258,27.4523191298894,1.30971459704092,13.0384482748256,0,25.3158694108337,0.717513467607016,19.5865188962216,0.909050944369577,16.2260030807001,0.820734967988371,16.2908535944669,0.814636750895014,2.18310612055432,5.16699864512664,4.82094469822957,3.124970830971,0.629739346642031,4.27720484241592,48.877432673477,0,10.8870433170797,5.7841422594662,86.7432642796529
"ORTHOMCL8945",22.1244126202368,0,19.0257244517856,3.94789272172405,17.5585623123457,2.36045444549877,29.4783981603148,6.56142108821994,13.2808329931019,3.59919391087686,19.9429725059588,11.469464573747,24.2709782457185,19.8057035673216,20.7211258089651,12.6655232342405,2.55812854645179,26.4075193668097,9.46112576634874,17.7231983828832,4.91917465745582,20.4106278284147,20.0916495624198,13.5562024075274,20.2965890597406,12.5441107397321,19.8677231872402,6.53137741664735,19.3242831348697,0,23.8998332201038,3.92175987569848,23.3129198273283,11.1758128069934,22.8769410985172,6.32896735270843,23.6779444310315,5.87595566886648,19.9991207761307,3.24520061614001,20.5183741997093,6.1090700979251,17.5146901442428,21.14884054287,29.9685921417345,16.5289532510728,14.7320053460061,11.8076127495381,29.9404338969115,9.7754865346954,21.910472931821,5.44352165853984,15.0387698746121,0
"ORTHOMCL5591",12.557099054729,7.34069767485677,7.83412183308818,9.86973180431013,6.89800662270725,4.72090889099754,13.1015102934732,3.28071054410997,19.1114425998295,8.99798477719215,14.0339436153043,7.64630971583131,22.4392063026454,8.66499531070321,13.9747127548835,7.5993139405443,7.67438563935537,23.1870901757353,9.46112576634874,7.48312820610623,12.2979366436395,8.92964967493142,16.8769856324327,7.27405982842933,9.13346507688325,6.96895041096225,15.8205943898394,4.89853306248551,5.52122375281992,0,10.3912318348277,11.7652796270954,16.7643468421237,16.7637192104901,5.71923527462929,14.767590489653,10.7627020141052,7.83460755848864,16.3629169986524,6.49040123228002,9.02808464787209,9.16360514688765,10.5902777616352,19.6479550849889,6.20039837415197,10.3305957819205,10.7141857061863,26.2916177223048,9.26727715856783,16.2924775578257,17.4472284457093,8.16528248780975,8.09779916325268,9.63814047551699
"ORTHOMCL5428",8.96935646766355,11.0110465122852,6.71496157121844,9.86973180431013,6.89800662270725,16.5231811184914,11.4638215067891,9.84213163232992,11.337296457526,23.3947604206996,6.64765750198625,26.7620840054096,12.8224036015116,5.57035412830921,6.26452640736155,5.0662092936962,10.2325141858072,12.8817167642974,23.6528144158718,8.66467476496511,4.91917465745582,5.10265695710367,12.0549897374519,6.61278166220848,3.29819572220784,18.1192710685019,12.8772279917298,19.594132249942,9.20203958803319,5.35246248635207,5.19561591741387,13.7261595649447,16.2404610033074,9.31317733916115,5.71923527462929,14.767590489653,6.09886447465964,3.91730377924432,6.36335661058704,12.98080246456,7.38661471189534,10.1817834965418,6.92441238260762,8.45953621714799,4.13359891610131,8.95318301099778,10.7141857061863,7.55687215970437,7.84154221109586,6.51699102313027,8.52073947348596,5.44352165853984,6.94097071135944,14.4572107132755
"ORTHOMCL902.1",5.97957097844237,18.3517441871419,2.23832052373948,9.86973180431013,0.627091511155204,9.44181778199508,0,9.84213163232992,0.971768267787942,8.99798477719215,0.738628611331806,3.82315485791566,0,1.8567847094364,0.481886646720119,2.5331046468481,2.55812854645179,0.64408583821487,0,0.787697705905919,9.83834931491163,0.637832119637958,0.803665982496793,2.97575174799382,2.79078099571433,8.36274049315471,0.735841599527416,6.53137741664735,0.92020395880332,5.35246248635207,0.692748788988516,7.84351975139696,2.09554335526547,7.45054187132892,0.953205879104881,16.8772462738891,1.79378366901754,11.751911337733,0,6.49040123228002,2.46220490396511,14.2544968951586,1.62927350179003,0.54577653013858,0,0.688706385461368,3.124970830971,0.944609019963046,0.712867473735987,6.51699102313027,0.405749498737427,2.72176082926992,0,0
"ORTHOMCL2547.1",2.98978548922118,18.3517441871419,0,0,2.50836604462082,7.08136333649631,0.818844393342077,6.56142108821994,6.15453236265697,8.99798477719215,1.47725722266361,3.82315485791566,7.32708777229237,2.4757129459152,1.44565994016036,0,2.55812854645179,2.57634335285948,9.46112576634874,2.36309311771776,14.7575239723674,1.91349635891388,4.01832991248397,3.63702991421467,2.28336626922081,8.36274049315471,5.15089119669191,11.4299104791329,6.44142771162324,0,3.81011833943684,9.8043996892462,3.1433150328982,18.6263546783223,0,2.10965578423614,2.15254040282105,9.7932594481108,0.909050944369577,16.2260030807001,1.64146993597674,2.03635669930837,1.62927350179003,6.41287422912831,0,5.50965108369094,2.23212202212214,5.98252379309929,6.41580726362388,0,1.62299799494971,10.8870433170797,2.31365690378648,0
"ORTHOMCL8958",58.0018384908909,3.67034883742839,23.5023654992645,9.86973180431013,42.6422227585539,2.36045444549877,55.6814187472613,9.84213163232992,58.9539415791351,7.19838782175372,36.1928019552585,7.64630971583131,73.2708777229237,34.6599812428128,37.1052717974492,37.9965697027215,23.0231569180661,102.409648276164,0,29.9325128244249,12.2979366436395,67.6102046816236,111.709571567054,42.6524417212447,54.5470830980527,6.96895041096225,96.7631703378552,1.63284435416184,37.7283623109361,5.35246248635207,48.1460408347018,11.7652796270954,84.6075629688433,9.31317733916115,27.6429704940416,10.5482789211807,40.5395109197964,9.7932594481108,44.5434962741093,3.24520061614001,38.5745434954535,12.2181401958502,40.7318375447507,88.4157978824499,35.1355907868612,64.7384002333686,35.7139523539543,88.7932478765264,79.1282895846946,9.7754865346954,47.0669418535415,13.6088041463496,30.0775397492243,0
"ORTHOMCL2519.1",0,7.34069767485677,0,1.97394636086203,1.88127453346561,11.8022722274938,8.18844393342077,26.2456843528798,0,8.99798477719215,5.90902889065445,3.82315485791566,1.83177194307309,9.90285178366081,22.1667857491255,1.26655232342405,7.67438563935537,0,9.46112576634874,1.57539541181184,4.91917465745582,2.55132847855183,0,2.31447358177297,3.80561044870135,9.75653057534716,0,3.26568870832367,4.6010197940166,0,12.123103807299,3.92175987569848,2.61942919408184,7.45054187132892,22.8769410985172,4.21931156847229,3.58756733803508,5.87595566886648,2.72715283310873,0,4.10367483994186,11.199961846196,4.88782050537008,0.27288826506929,2.06679945805066,1.37741277092274,4.01781963981986,0.314869673321016,6.41580726362388,13.0339820462605,0.405749498737427,0,5.7841422594662,4.8190702377585
"ORTHOMCL3357.1",0.597957097844236,3.67034883742839,1.11916026186974,7.8957854434481,1.25418302231041,4.72090889099754,4.09422196671039,26.2456843528798,0.647845511858628,5.39879086631529,4.43177166799084,3.82315485791566,0,1.8567847094364,1.92754658688048,0,12.790642732259,1.93225751464461,9.46112576634874,1.9692442647648,12.2979366436395,2.55132847855183,0,1.65319541555212,0.761122089740271,13.9379008219245,1.10376239929112,4.89853306248551,5.52122375281992,5.35246248635207,2.4246207614598,15.6870395027939,0.785828758224551,14.9010837426578,5.71923527462929,8.43862313694457,0.358756733803508,7.83460755848864,0,16.2260030807001,2.46220490396511,10.1817834965418,0.814636750895014,0.682220662673225,0,1.37741277092274,0.446424404424429,0.157434836660508,2.85146989494395,3.25849551156513,2.02874749368713,5.44352165853984,5.7841422594662,14.4572107132755
"ORTHOMCL944.1",9.56731356550778,3.67034883742839,3.35748078560922,13.8176245260342,4.38964057808643,0,3.27537757336831,0,12.6329874812432,7.19838782175372,16.9884580606315,7.64630971583131,0,2.4757129459152,5.30075311392131,11.3989709108164,7.67438563935537,7.08494422036357,4.73056288317437,4.72618623543552,7.37876198618372,6.37832119637959,4.01832991248397,13.225563324417,4.56673253844162,6.96895041096225,1.10376239929112,3.26568870832367,6.44142771162324,10.7049249727041,5.19561591741387,11.7652796270954,2.88137211349002,16.7637192104901,12.3916764283635,4.21931156847229,4.3050808056421,5.87595566886648,0.909050944369577,3.24520061614001,4.10367483994186,4.07271339861673,2.85122862813255,4.77554463871257,6.20039837415197,5.50965108369094,5.35709285309314,6.61226313974132,4.99007231615191,6.51699102313027,3.24599598989941,5.44352165853984,2.31365690378648,0
"ORTHOMCL688.1",685.258834129495,7.34069767485677,564.056771982349,13.8176245260342,279.055722464066,2.36045444549877,444.632505584748,3.28071054410997,946.178370069526,5.39879086631529,1197.31697896886,0,521.139117804295,319.366970023061,681.387718462249,338.169470354221,5.11625709290358,765.173975799266,0,408.815109365172,19.6766986298233,335.499694929566,812.506308304258,673.842451379045,519.846387292605,5.5751603287698,749.086748318909,9.79706612497102,519.915236723876,10.7049249727041,315.547073384269,3.92175987569848,481.451085872241,1.86263546783223,766.377526800325,8.43862313694457,206.285121937017,5.87595566886648,542.703413788638,6.49040123228002,555.637573328127,11.199961846196,246.427617145742,431.982123604686,364.790104345941,330.579065021457,707.136256608295,530.870269219232,553.898027092862,3.25849551156513,924.297358123858,5.44352165853984,453.47675314215,9.63814047551699
"ORTHOMCL1150.1",4.18569968490966,3.67034883742839,5.5958013093487,7.8957854434481,3.76254906693123,7.08136333649631,4.91306636005246,9.84213163232992,0.647845511858628,12.597178688069,2.21588583399542,3.82315485791566,1.83177194307309,3.71356941887281,2.4094332336006,7.5993139405443,0,2.57634335285948,0,5.90773279429439,4.91917465745582,7.6539854356555,4.01832991248397,8.26597707776061,3.04448835896108,4.18137024657735,3.67920799763708,4.89853306248551,3.68081583521328,5.35246248635207,2.4246207614598,5.88263981354772,4.19108671053094,7.45054187132892,2.85961763731464,8.43862313694457,6.45762120846315,1.95865188962216,10.9086113324349,3.24520061614001,8.20734967988371,6.1090700979251,2.85122862813255,3.82043571097006,4.13359891610131,4.82094469822957,2.23212202212214,2.36152254990762,6.41580726362388,6.51699102313027,6.89774147853625,2.72176082926992,10.4114560670392,4.8190702377585
"ORTHOMCL5547",34.6815116749657,36.7034883742839,31.3364873323527,57.2444444649988,28.2191180019842,18.8836355639902,31.1160869469989,52.4913687057596,28.1812797658503,37.791536064207,39.1473164005857,34.4083937212409,69.1493908510092,43.3249765535161,38.5509317376095,36.7300173792974,38.3719281967769,23.1870901757353,33.1139401822206,25.2063265889894,36.8938099309186,28.0646132640702,32.9503052823685,31.4107128954903,45.921032747663,30.6633818082339,30.9053471801515,44.0867975623696,30.3667306405095,48.1721623771686,40.8721785503224,31.3740790055878,25.1465202631856,29.8021674853157,38.1282351641952,42.1931156847229,30.8530791071017,27.4211264547102,32.7258339973048,55.1684104743802,39.3952784634418,39.7089556365131,33.4001067866956,30.4270415552258,38.2357899739372,24.1047234911479,32.1425571185589,23.9300951723972,49.1878556877831,35.8434506272165,33.6772083952064,32.661129951239,54.3709372389823,28.914421426551
