"","Culture_Control.1","Culture_Control.1.1","Culture_Control.2","Culture_Control.2.1","Culture_Control.3","Culture_Control.3.1","Culture_Control.4","Culture_Control.4.1","Culture_Cool.1","Culture_Cool.2","Culture_Cool.3","Culture_Cool.4","Culture_Heat.1","Culture_Heat.1.1","Culture_Heat.2","Culture_Heat.2.1","Culture_Heat.3","Culture_Heat.3.1","Culture_Heat.4","Culture_Heat.4.1","OC4_F_B.host","OC4_F_B.sym","OC5_H_B.host","OC5_H_B.sym","OC9_C_B.host","OC9_C_B.sym","OD4_C_B.host","OD4_C_B.sym","OD5_F_B.host","OD5_F_B.sym","OD6_H_B.host","OD6_H_B.sym","OE10_F_W.host","OE11_C_W.host","OE3_H_W.host","OF7_C_B.host","OF7_C_B.sym","OF8_F_B.host","OF8_F_B.sym","OF9_H_B.host","OF9_H_B.sym","OH1_C_W.host","OH11_F_W.host","OH15_H_W.host","OI1_C_B.host","OI1_C_B.sym","OI2_F_B.host","OI2_F_B.sym","OI3_H_B.host","OI3_H_B.sym","OJ13_C_B.host","OJ13_C_B.sym","OJ14_F_B.host","OJ14_F_B.sym","OJ15_H_B.host","OJ15_H_B.sym","OL6_C_B.host","OL6_C_B.sym","OL7_F_B.host","OL7_F_B.sym","OL8_H_B.host","OL8_H_B.sym","ON4_C_W.host","ON5_F_W.host","ON6_H_W.host","OQ1_C_W.host","OQ11_H_W.host","OQ4_F_W.host","OR7_C_B.host","OR7_C_B.sym","OR8_F_B.host","OR8_F_B.sym","OR9_H_B.host","OR9_H_B.sym"
"ORTHOMCL5408",16.2811854105783,18.1526440456091,1.54438167821026,6.37473371181854,19.5111982316465,5.62532812520303,9.1160971549966,9.9273726240068,0.34555235882712,8.41066849335452,29.1160956623232,13.2736198429795,13.4882273397253,12.853875673297,5.32157543104846,2.89299868017573,2.22640977163474,6.75499127255596,2.15288655568242,19.0849925674983,0,34.5377742125781,0,0,9.61516548043875,16.9242696365077,1.33300561082243,34.3390151596896,6.37782797183536,33.6314260056781,1.14501073969787,0,4.83511860245984,1.10263969705868,0,1.9080541911256,45.504600931059,0,0,8.04399708142929,5.35555628400367,14.6515698368037,7.81232195285649,10.9734364935839,11.3137507559903,19.8520981432638,5.57285391022749,21.6117380623502,8.11847853588696,9.21861172710325,15.7647309401616,22.6267389020997,4.46794306838719,38.154461288544,17.4899438090859,0,10.5939892462501,27.0013210149735,6.24884445187482,31.3122432511839,9.8296964459904,7.0744017844451,7.18351954326396,3.980087858268,6.60731210565468,1.1077101664416,4.25628971784365,4.07716763047509,1.0964662389974,18.6841255587101,0.66620386118874,21.6777068662043,1.9059554150927,0
"ORTHOMCL3470",34.3385001386742,21.7012812274575,28.0562671541531,25.9335757821709,33.6399969511146,27.925736050115,36.4643886199864,33.1783242960227,19.6964844531458,30.8391178089666,44.3747982019364,40.8419072091676,29.505497305649,32.9916142281289,25.4790581244138,23.5056142764278,23.8543904103722,25.0899675837793,32.2932983352363,20.5634074846989,44.0694609393228,20.7226645275469,52.6335492762715,18.6841255587101,35.2556067616088,5.64142321216924,42.6561795463176,20.6034090958138,46.7707384601259,26.1577757821941,37.7853544100296,20.8562754267354,62.1658106030551,28.6686321235258,34.4838198101075,30.5288670580096,5.68807511638238,46.3294332951856,0,28.1539897850025,16.066668852011,28.2565989709786,41.6657170819013,21.3982011624886,35.6173634910807,8.50804206139879,47.6788612319463,21.6117380623502,41.945472435416,9.21861172710325,32.6972197277426,26.3978620524497,43.0547241135493,7.6308922577088,36.4373829355957,26.0019140390211,40.2571591357504,15.4293262942706,45.6165644986862,3.91403040639799,51.9569669288064,7.0744017844451,30.1707820817086,50.9032289241644,28.0810764490324,36.5544354925728,29.084646405265,47.838766864241,23.0257910189454,12.4560837058067,64.6217745353078,21.6777068662043,30.4952866414832,20.129299232904
"ORTHOMCL1829",102.275446533724,85.8497225916399,70.5267633049353,108.949994347444,102.265590731388,97.8405284633527,112.674960835758,130.362077352089,124.053296818936,110.613034124723,127.830559030841,100.208536616779,151.742557571909,99.1890739456085,142.069938022839,128.196004015287,180.339191502414,136.064824204341,166.310486426467,135.745369670235,133.107759571832,75.9831032676719,137.526370689613,84.0785650141953,146.364185646679,45.1313856973539,157.294662077046,54.9424242555033,112.674960835758,74.7365022348403,229.002147939573,97.3292853247651,66.3101979765921,131.214123949983,167.607403263081,124.023522423164,136.513802793177,99.2773570611119,44.0328420719774,164.9019401693,58.9111191240403,99.4213667497394,109.372507339991,241.964274683525,147.078759827875,56.7202804093253,108.361048254423,72.0391268745007,177.253448033532,64.5302820897228,164.653856486132,67.8802167062991,130.38270226839,61.0471380616704,222.996783565846,112.674960835758,140.900056975126,81.0039630449204,85.609168990685,58.7104560959699,224.678775908352,113.190428551122,119.964776372508,113.746721423133,115.627961848957,125.171248807901,188.695510824402,116.335183056223,192.978058063543,68.5084603819369,125.912529764672,81.291400748266,123.887101981025,90.5818465480678
"ORTHOMCL8796",29.3061337390409,29.4809858184328,40.1539236334668,23.6154907960551,31.6215971340477,42.3908655149228,86.0559571431679,38.6645039040265,69.4560241242511,33.8975427156409,50.9142421474849,16.0450349750301,40.4646820191758,24.2081325180427,45.3140210946854,31.4613606469111,36.5767319625707,46.1591070291324,71.5834779764404,22.0418224018995,116.019601248421,41.4453290550937,32.2592721370697,4.67103138967752,63.0327514828763,22.5656928486769,51.9872188220746,0,137.65478705878,14.9473004469681,37.7853544100296,13.9041836178236,76.6711664104347,65.0557421264624,41.7013634912928,55.3335715426425,17.0642253491471,99.2773570611119,8.80656841439549,24.1319912442879,5.35555628400367,50.2339537261841,76.8211658697554,40.6017150262605,69.5586157590518,19.8520981432638,102.788194344196,18.0097817186252,32.4739141435479,0,46.7103138967752,15.0844926013998,78.3920920180661,22.8926767731264,18.9474391265098,13.0009570195105,59.3263397790006,30.8586525885411,88.7335912166224,11.742091219194,40.7230281333888,7.0744017844451,80.4554188845563,111.232981723174,29.7329044754461,39.8775659918976,28.3752647856243,93.231233150197,87.7172991197921,6.22804185290336,159.222722824109,27.0971335827553,24.7774203962051,20.129299232904
"ORTHOMCL4705",18.7973686103949,16.1053533637735,14.4142289966291,18.8344405121912,15.8107985670239,15.4696523443083,21.513989285792,14.3685656400098,26.6075316296882,28.2904303867379,18.9955276513552,22.6089129193606,21.9183694270536,17.7811946813942,18.3836242163492,19.1661162561642,19.0835123282978,15.2791469260194,17.2230924454594,15.3217545964423,35.0756934006855,6.90755484251562,16.9785642826682,14.0130941690326,19.2303309608775,5.64142321216924,21.3280897731588,6.86780303193792,36.1410251737337,26.1577757821941,21.7552040542595,6.95209180891179,20.0312056387622,19.8475145470563,16.0389859581895,20.9885961023816,5.68807511638238,34.9834496310585,0,19.4396596134541,37.4888939880257,14.6515698368037,22.13491219976,21.9468729871678,27.6558351813097,11.3440560818651,32.8179174713397,10.8058690311751,21.6492760956986,0,23.9390358720973,15.0844926013998,26.8076584103231,22.8926767731264,13.1174578568144,13.0009570195105,31.7819677387503,15.4293262942706,22.4958400267493,3.91403040639799,21.063635241408,21.2232053533353,22.9872625384447,35.6113124160821,19.8219363169641,15.5079423301824,15.6063956320934,26.9093063611356,17.5434598239584,18.6841255587101,31.9777853370595,37.9359870158575,24.7774203962051,0
"ORTHOMCL8156",115.004373309267,119.5617758192,44.2722747753608,87.073067290976,76.6991930485413,84.9826356057458,46.3097735473827,64.7891687040444,55.2883774123392,78.4995726046422,71.3110792157434,93.49879471813,104.196556199378,145.677257630699,102.883791666937,80.6423382098985,86.8299810937549,136.70815670649,48.978169141775,108.327493023969,150.195917895243,75.9831032676719,78.1013957002739,102.762690572905,70.5112135232175,62.0556553338616,53.320224432897,130.48825760682,145.095586359254,85.9469775700663,62.9755906833826,90.3771935158533,84.9599411575087,70.5689406117558,66.5617917264865,80.1382760272753,108.073427211265,116.296332557303,52.8394104863729,53.6266472095286,80.333344260055,57.559738644586,97.6540244107061,64.1946034874659,90.5100060479228,90.7524486549204,125.079609985106,68.4371705307757,66.3009080430769,110.623340725239,83.4946860904856,86.7358324580489,145.005061401293,83.9398148347967,64.1297939666484,104.007656156084,67.8015311760007,100.290620912759,108.729893462622,90.0226993471538,81.4460562667776,77.8184196288961,84.0471786561883,129.667072856205,36.3402165811008,55.38550832208,57.4599111908893,136.177398857868,75.6561704908207,112.10475335226,157.224111240543,81.291400748266,40.0250637169466,90.5818465480678
"ORTHOMCL2376.1",18.9453793868547,11.8742859546465,61.5178701820421,9.8518611909923,24.2207978048025,16.4741752238089,37.558320278586,10.7111125680073,9.32991368833224,15.8018620178176,7.7850523161292,16.6284907923039,18.3777097503757,69.4109286358038,12.2557494775661,21.878302518829,25.762741643202,15.2791469260194,15.3393167092372,17.2033735819703,11.6918978002285,20.7226645275469,10.1871385696009,37.3682511174201,13.8885723606338,33.8485392730154,23.9941009948037,34.3390151596896,12.7556559436707,3.73682511174201,21.7552040542595,0,14.5053558073795,7.71847787941079,18.444833851918,0,34.1284506982943,21.7464686895769,26.4197052431865,37.53865304667,32.133337704022,13.6050291341749,14.3225902469036,23.5928884612054,16.7611122310968,36.8681822660614,16.7185617306825,25.2136944060752,16.2369570717739,9.21861172710325,9.92594170306472,26.3978620524497,6.90500292387111,26.7081229019808,1.45749531742383,34.6692187186948,14.8315849447501,34.7159841621088,11.2479200133747,15.656121625592,23.8721199402624,42.4464107066706,7.90187149759035,12.1497418831339,33.0365605282734,9.9693914979744,34.7596993623898,10.0570134885052,17.5434598239584,31.1402092645168,8.66065019545362,48.7748404489596,32.4012420565759,30.1939488493559
"ORTHOMCL9014",258.278804922356,304.363881366227,412.092511135772,263.827047482308,241.198778139492,304.973146216364,173.570489831135,264.381607776181,140.294257683811,289.276022422951,173.139563510713,300.625609850337,220.363914162762,857.996201192574,217.378293365252,232.524768919124,186.382303739708,226.453040756162,171.961813635133,174.184157517449,126.812122294786,193.411535590437,237.699899957355,163.486098638713,317.300460854479,310.278276669308,437.225840349756,322.786742501082,141.906672373337,235.419982039747,251.902362733531,222.466937885177,155.414526507638,261.325608202908,250.208180947757,215.610123597193,193.394553957001,136.151803969525,405.102147062192,258.078239695856,262.42225791618,352.684216785918,158.850546374749,249.097008404355,228.370154148694,275.093359985228,149.228643596092,230.525205998402,243.554356076609,359.525857357027,254.571210737425,316.774344629396,121.446816131615,232.742213860118,274.00911967568,229.683574011353,300.869294593503,250.726552281897,158.72064907762,234.84182438388,244.338168800333,212.232053533353,279.438910232968,138.46516180606,429.475286867554,332.31304993248,258.214909549182,116.335183056223,367.31619006413,317.630134498071,131.242160654182,238.454775528247,344.977930131778,211.357641945492
"ORTHOMCL2215.1",10.9527974580254,13.1026603637479,12.6124503720505,2.60784560938031,10.7647990243567,7.63437388420411,13.8564676755948,6.00867290400411,18.6598273766645,6.11684981334874,16.0372077712261,9.77288493933652,7.9243335620886,0.856925044886466,8.54677266198692,30.0148613068232,5.08893662087941,15.2791469260194,8.07332458380907,18.1441830747343,0,6.90755484251562,16.9785642826682,4.67103138967752,8.54681376039,22.5656928486769,6.66502805411213,6.86780303193792,7.9722849647942,26.1577757821941,10.3050966572808,41.7125508534707,4.83511860245984,5.51319848529342,7.21754368118529,0,51.1926760474414,7.56398910941805,8.80656841439549,12.0659956221439,26.7777814200183,1.04654070262884,1.30205365880941,12.6194519676215,5.86638928088388,19.8520981432638,4.33444193017694,18.0097817186252,10.8246380478493,9.21861172710325,7.59042600822596,3.77112315034995,6.49882628129046,34.3390151596896,7.28747658711914,17.3346093593474,7.41579247237507,15.4293262942706,8.74838223262475,23.484182438388,7.021211747136,28.2976071377804,6.46516758893756,9.63600218317515,0,1.1077101664416,12.0594875338903,7.33890173485516,12.0611286289714,18.6841255587101,8.66065019545362,5.41942671655107,13.3416879056489,30.1939488493559
"ORTHOMCL1830",24.2737673394076,13.512118500115,24.1953129586274,27.6721395217578,21.1931980792022,13.4606065853072,29.536154782189,12.0173458080082,13.8220943530848,15.2921245333719,14.6358983543229,10.2104768022919,13.994035864965,41.1324021545504,26.7691370167892,19.8893659262081,27.3530343372268,14.1533150472601,19.6450898206021,24.9986522363006,25.1825491081845,0,8.48928214133412,32.6972197277426,11.7518689205363,22.5656928486769,27.9931178272709,0,39.3299391596514,33.6314260056781,18.3201718351659,20.8562754267354,25.5570554701449,22.0527939411737,17.6428845540085,17.1724877201304,22.7523004655295,25.5284632442859,8.80656841439549,18.0989934332159,16.066668852011,18.837732647319,33.8533951290448,19.2035138637718,15.5040288137645,19.8520981432638,24.1490336109858,28.8156507498003,8.11847853588696,9.21861172710325,35.0327354225814,18.8556157517498,86.9218015122599,19.077230644272,17.4899438090859,21.6682616991842,19.0691806432502,3.85733157356764,24.9953778074993,11.742091219194,18.2551505425536,28.2976071377804,17.9587988581599,15.2919165080823,14.866452237723,8.8616813315328,12.768869153531,29.3556069394206,19.7363923019532,6.22804185290336,32.6439891982483,27.0971335827553,20.9655095660197,0
