coral,sym,treatment,day,behaviour,genotype
AL2,B,Heat,9,5,L
AJ3,B,Heat,9,5,J
AI3,B,Heat,9,4,I
AB4,B,Heat,9,5,B
AK2,W,Heat,9,5,K
AC1,W,Heat,9,5,C
AD5,W,Heat,9,5,D
AG1,W,Heat,9,5,G
AT1,B,Heat,9,5,T
AR4,B,Heat,9,5,R
AN1,B,Heat,9,4,N
AQ1,B,Heat,9,5,Q
AI2,B,Heat,9,5,I
AF3,B,Heat,9,5,F
AP4,W,Heat,9,5,P
AC6,W,Heat,9,5,C
AE3,W,Heat,9,4,E
AH1,W,Heat,9,5,H
AJ6,B,Cold,9,4,J
AF5,B,Cold,9,5,F
AB2,B,Cold,9,5,B
AH3,W,Cold,9,5,H
AA3,W,Cold,9,4,A
AD6,W,Cold,9,4,D
AE1,W,Cold,9,5,E
AM1,B,Cold,9,4,M
AO5,B,Cold,9,5,O
AR2,B,Cold,9,5,R
AT5,B,Cold,9,3,T
AJ1,B,Cold,9,4,J
AI5,B,Cold,9,5,I
AB5,B,Cold,9,5,B
AK3,W,Cold,9,5,K
AC2,W,Cold,9,5,C
AD8,W,Cold,9,5,D
AG4,W,Cold,9,4,G
AL1,B,Cold,9,5,L
AQ6,B,Cold,9,5,Q
AS5,B,Cold,9,5,S
AT4,B,Cold,9,3,T
AJ2,B,Cold,9,4,J
AI4,B,Cold,9,5,I
AF8,B,Cold,9,5,F
AP1,W,Cold,9,5,P
AC5,W,Cold,9,5,C
AE2,W,Cold,9,5,E
AG3,W,Cold,9,4,G
AN2,B,Cold,9,5,N
AR3,B,Cold,9,5,R
AS2,B,Cold,9,4,S
AT2,B,Control,10,5,T
AR1,B,Control,10,5,R
AO2,B,Control,10,5,O
AM3,B,Control,10,5,M
AJ4,B,Control,10,5,J
AF1,B,Control,10,5,F
AP2,W,Control,10,5,P
AH2,W,Control,10,5,H
AA4,W,Control,10,5,A
AD2,W,Control,10,5,D
AE4,W,Control,10,4,E
AT3,B,Control,10,5,T
AS4,B,Control,10,5,S
AQ5,B,Control,10,5,Q
AN5,B,Control,10,5,N
AJ7,B,Control,10,5,J
AF2,B,Control,10,5,F
AB1,B,Control,10,5,B
AK5,W,Control,10,5,K
AC3,W,Control,10,5,C
AD3,W,Control,10,5,D
AE6,W,Control,10,4,E
AS1,B,Control,10,5,S
AR5,B,Control,10,5,R
AN3,B,Control,10,5,N
AL3,B,Control,10,5,L
AI1,B,Control,10,5,I
AB6,B,Control,10,5,B
AP3,W,Control,10,3,P
AC4,W,Control,10,5,C
AD4,W,Control,10,5,D
AG2,W,Control,10,5,G
AT6,B,Heat,10,5,T
AS3,B,Heat,10,5,S
AO3,B,Heat,10,5,O
AM2,B,Heat,10,5,M
AJ5,B,Heat,10,5,J
AF4,B,Heat,10,5,F
AB3,B,Heat,10,5,B
AH4,W,Heat,10,5,H
AA2,W,Heat,10,4,A
AD1,W,Heat,10,5,D
AE5,W,Heat,10,5,E
AS6,B,Heat,10,5,S
AQ3,B,Heat,10,5,Q
AL2,B,Heat,10,5,L
AJ3,B,Heat,10,5,J
AI3,B,Heat,10,5,I
AB4,B,Heat,10,5,B
AK2,W,Heat,10,4,K
AC1,W,Heat,10,5,C
AD5,W,Heat,10,5,D
AG1,W,Heat,10,5,G
AT1,B,Heat,10,5,T
AR4,B,Heat,10,5,R
AN1,B,Heat,10,5,N
AQ1,B,Heat,10,5,Q
AI2,B,Heat,10,5,I
AF3,B,Heat,10,5,F
AP4,W,Heat,10,5,P
AC6,W,Heat,10,5,C
AE3,W,Heat,10,5,E
AH1,W,Heat,10,5,H
AJ6,B,Cold,10,3,J
AF5,B,Cold,10,4,F
AB2,B,Cold,10,4,B
AH3,W,Cold,10,2,H
AA3,W,Cold,10,4,A
AD6,W,Cold,10,4,D
AE1,W,Cold,10,3,E
AM1,B,Cold,10,2,M
AO5,B,Cold,10,4,O
AR2,B,Cold,10,4,R
AT5,B,Cold,10,3,T
AJ1,B,Cold,10,1,J
AI5,B,Cold,10,4,I
AB5,B,Cold,10,5,B
AK3,W,Cold,10,5,K
AC2,W,Cold,10,4,C
AD8,W,Cold,10,4,D
AG4,W,Cold,10,3,G
AL1,B,Cold,10,4,L
AQ6,B,Cold,10,5,Q
AS5,B,Cold,10,4,S
AT4,B,Cold,10,2,T
AJ2,B,Cold,10,4,J
AI4,B,Cold,10,3,I
AF8,B,Cold,10,4,F
AP1,W,Cold,10,4,P
AC5,W,Cold,10,4,C
AE2,W,Cold,10,4,E
AG3,W,Cold,10,3,G
AN2,B,Cold,10,4,N
AR3,B,Cold,10,4,R
AS2,B,Cold,10,4,S
AT2,B,Control,11,5,T
AR1,B,Control,11,5,R
AO2,B,Control,11,5,O
AM3,B,Control,11,5,M
AJ4,B,Control,11,5,J
AF1,B,Control,11,5,F
AP2,W,Control,11,5,P
AH2,W,Control,11,5,H
AA4,W,Control,11,5,A
AD2,W,Control,11,5,D
AE4,W,Control,11,5,E
AT3,B,Control,11,5,T
AS4,B,Control,11,5,S
AQ5,B,Control,11,5,Q
AN5,B,Control,11,5,N
AJ7,B,Control,11,5,J
AF2,B,Control,11,5,F
AB1,B,Control,11,5,B
