sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
FL7,134759,-0.0499959040268218,0.012048060638938799,-0.023762652416572216,-0.029160589806895395,0.0036384337419007756,0.009147710040191631,0.013860273647441237,0.001673238705739114,0.014686233317186116,0.004886329884856252,0.001512168190758651,-0.003068370510812944,0.011764832793081947,0.004775023878681638,-0.005750000619852545,-0.00023820577548622603,0.002605033086996887,9.472857423656848e-05,-0.0011533794448233786,-0.0005071744578478377,-4.671463472201528e-05,0.00020064493745766538,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FM2,134760,-0.04733852145863165,0.013240364678065953,-0.01624949879326601,-0.005101315718511128,0.006068392139236563,-0.0054503993085815985,-0.006059995412794266,0.007287307832463476,0.00578939546055552,-0.0030617512495577804,-0.0030404951039689435,0.0016607088749958955,0.008055865406991628,0.0019883932255792304,0.003954954805648476,-0.0014064033758969452,-0.005035961766173536,-0.0030843770475859544,-0.0004954174391724488,0.0020668742445364174,0.00035858398482335415,-0.00020228000161567092,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FO2,134762,-0.027196976375946837,-0.008801126524642695,-0.0010748277695155856,-0.004041681061560744,0.0045577624932557305,0.018208984624160405,0.024655439458627828,-0.00745741767692142,-0.023327233257925614,-0.00912876529793235,-0.003665841482616401,-0.00604606135698481,0.005096832527210969,6.544047615504417e-05,0.00024350432532176344,-0.00033499608619837646,-0.000868432496535837,-0.0009641197020731015,-0.00030541108953627353,0.00019844696791359128,-1.5765318548450834e-05,-0.00012999098206134874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2,134763,0.08937436426212224,-0.15118813240255868,0.3358306182728793,-0.02204371751790989,0.00048362343851211456,0.004129270076284497,-0.0036834457625584925,0.000521884041720635,-0.0026890252974255185,-0.001016908454129125,0.0003354694701686401,0.00010124134698755989,4.405260536733863e-05,-0.0002949130896534568,-3.40859710378515e-05,-0.00012383272262258047,-9.138502684101938e-05,9.141293988227474e-05,-2.314229505461648e-05,1.3592132303665509e-05,-2.835190079909769e-06,1.8224474532250941e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR8,134764,-0.05357491350924539,-0.007180661729639158,-0.01695882394926405,0.00026608717193834434,0.0008315122456056058,-0.009731899292279493,0.007007532530832355,-0.011442054486145405,0.006246185029058624,0.004518046777565173,-0.004454577908019502,0.0051472591075890995,0.00018601220287148436,-0.004174406168827939,-0.0063296305765486605,-0.0025082793352099496,-0.0011756275548133726,0.001095785429744975,-0.001499004046824298,9.857363606786914e-05,0.0002830747163947641,-0.00035236903600953384,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HA6,134765,-0.045413290538413614,0.019145986885000715,-0.015071219092247002,0.0025002349337134707,0.0009011469192205118,-0.0021971430337789596,-0.006601392538734039,0.005319465533385293,0.008695446743430493,-0.007651030066186496,-0.003755970974890494,-0.004272846326678609,0.004106439169623878,-0.00473579013736997,0.0029452571685510257,0.0022594699343917732,0.0011984311365462567,0.002323965748791847,-0.0021188055067120643,0.0013708514439568023,0.00039185184373826933,0.0004249267951545341,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD6,134766,-0.057427534548863894,-0.007304283006173942,-0.01241569827321067,0.020274686492168518,3.0297377739316028e-05,0.0029694158726137495,-0.011762631387851004,0.004250384673781866,-0.011681614956165895,0.013780997885897334,-0.0017041360081215381,0.007589091023302764,0.0014229961437199094,-0.0004922841098858799,-0.0002129385711058453,0.004065572271943328,-0.00143491901237962,0.0015152836510732084,-0.0008082287973293568,-0.0012102082133405145,0.0001364249889379482,0.0002977386899003754,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HE3,134767,-0.051107348437734325,-0.009422466922350338,-0.0022942551239939074,0.0018770073440764156,0.00167047126319855,-0.002728275323580893,-0.00811294504876137,-0.007624913325539448,-0.007945643878127082,-0.00717521785669289,0.007706624636603355,0.010129798937854415,0.0060515068332795295,0.0049856041746382,0.0008590609259873516,-0.0024233933816208736,0.0011155920564029599,-0.00012492374291639746,0.001736720429830155,-0.0010820671709933622,0.00043042908244604735,-6.18932882049899e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HF9,134768,-0.047017836944612715,-0.005253203034133777,-0.011447049309187293,-0.01328543090294393,0.006424587353419402,-0.009179410095931843,-0.013793024223190866,-0.022438329297347924,-0.004535540597696845,-0.005136531504191341,0.002282857956109149,-0.00973751091914115,0.0008130915923281119,-0.0005714347198772765,-0.0026295377973895285,0.0018344905303202719,0.003272132178393597,-0.0005686206952723542,-0.0009773826085537603,-0.00043614696737934915,-0.00018175449219012273,-6.795187166255134e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH15,134769,-0.054277824602457725,0.02291922431834353,-0.024574251075274705,-0.0006525945322130298,0.008110238409017175,-0.003695288770208139,-0.005434333971390434,0.00923223121702626,0.005420950713816848,0.007482574459547017,0.0030571146175923714,-0.002287774154736184,0.003291996100898856,-0.002597286553040488,0.008716882331866502,0.0020780712850893787,0.00047615208381127056,0.0011115660670918883,0.0006162201751716875,-0.0020683631199696607,-0.00023898856981716801,-0.0003815852237734008,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
