sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
CO1,134748,0.46951478202415864,0.11469478457392271,-0.27215328267486333,0.03892220895569274,-0.0019657943187719176,0.007135636699221622,0.0023445223340993523,-0.0008566885260699554,0.002232958578249318,-9.064991560548851e-05,0.0010006408666330118,0.0007188796230140306,0.00041213983837390226,3.1675630565724577e-06,3.556750109039138e-05,-6.915326950538657e-05,-0.00013526924641405844,7.49353466888232e-05,7.746194145367482e-05,1.026968691505363e-05,-1.0841264134862183e-05,-3.531216489243348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,134749,0.03455947442818925,-0.0478842612495896,-0.03871261337398407,-0.09851484956525455,-0.08647714144191006,-0.05036912890659801,0.018087073073495087,-0.02063883956981724,0.0009652324987532262,0.003776484530242248,0.0017452279630413845,0.002792552067881658,-0.0018530522367436316,-4.168187281060663e-05,-0.0006381917996767542,-0.00017212119621265535,0.0006465673471628497,-0.00031520299979691414,-0.00030942565710473103,0.000134206382086125,-0.0001952106355315793,2.8457472010125002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR7,134750,-0.05186254239575126,-0.0004505874841903886,0.003112600491556635,0.004638771535456437,-0.001938529732561009,0.004994377058056894,0.011990668327640978,0.002273708871393517,-0.00023987955629176127,0.007281267023467188,-0.0044661943331247836,0.0020143793483836194,-0.00101618992754428,-0.0006869061492928893,-0.0033685221651489064,-0.0020547764840974504,-0.0052386894724439515,0.0010636435145500377,0.0013314533400999968,0.001396305126014313,-0.0010799144414855772,0.0011377808966315625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA5,134752,-0.006178941285438332,-0.009873507475170965,-0.014347505893148475,-0.05374119053360951,-0.008525786066942641,0.015082149471949129,-0.058645903238914485,-0.009185614842420071,-0.008700375645566681,0.01439178934995258,0.005917389904257691,-0.0019331354695691866,0.0035356931864231026,0.002579012678088928,0.0020485861271529347,0.0003861696479093174,0.0005331919395079272,-0.0003466367496999639,0.000133982935272736,-0.0005223946970282484,-0.0001242076096585366,-0.00010052453686210748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FD5,134753,-0.0612027744631523,0.002884789805056329,0.008658270989356355,0.01552024238224801,-0.01098355304476911,-0.00491440686669876,-0.024740028308889,-0.008411163300544948,0.0412964178722523,-0.0006592222460833484,-0.0051051536364472684,0.009806430025449132,0.004961387570733906,0.0011038386413903748,0.0016057981626628206,0.0017167997494021636,0.0005047417854525389,-0.0006740349869469163,0.0031813305384390186,-0.0005570112608145406,0.0003062122247345945,0.00011106311285510424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE10,134754,-0.03845787646192182,0.01106912076631878,0.013921932787549825,0.0002852594379208373,0.009318225572381798,-0.032816805635255075,-0.012409088671529083,-0.008748843495787214,-0.011095445180371057,-0.02027651243341184,0.020749251238713653,-0.0003481904809793813,0.0037455652049933645,0.0016605385232141942,0.0036263575566532202,-0.0008193767435931697,-0.001143300821791451,-4.854185326892874e-05,-0.001030047321095431,0.0004461383756372236,0.0002762191306826093,0.0002105500805315775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF8,134755,-0.04372888760695831,0.0049811857893544385,0.007493826542792052,0.024676609462344866,-0.004935704880010498,-0.0031362101159313305,0.005912149341393187,-0.012368139347355003,-0.005615853205651735,-0.007058747902264179,-0.0054509631414230795,-0.004484714382329508,-0.008825547195971697,0.003011608275450371,0.0021861154832648225,0.003360567827943849,0.0016878755619254896,-0.00363745577774465,-0.0018889263178609673,-0.001058322011307309,-0.0016135120762946443,-1.3943818125452262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH11,134756,0.03359192304273236,-0.027979525510948816,-0.027101974285968597,-0.06266808109461247,0.06641355142033585,-0.07061959733947416,0.020347058740520473,0.01953740750698959,0.0013958424872272614,-0.0008834162853304153,-0.0053094991675385,-0.0048103644808519305,0.0029116036771842254,0.0015479913023839732,-7.621467181114641e-05,-0.0002769295622215496,0.0002554443718678861,-0.00043931425188936,0.0004510241130415542,-0.000305548270633443,7.952796208386341e-05,-3.941029566916301e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI2,134757,-0.05180850286163401,-0.0015235623709720103,-0.0024438263341584844,0.015256906638888781,0.004406633289984105,-0.00048504220564684464,0.0004885330097829795,0.0011634900422582478,-0.006023142977828635,0.007542090794941053,-0.0002130821201565933,0.005311781773247776,0.003661895183936913,0.0026114842359273474,-0.0009540015095535381,-0.0007030067814405705,0.0002107725352806716,0.002010896324624873,-0.00021916533411697997,-0.000687108047749614,-7.056841516727905e-06,0.0016381133553858324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJ14,134758,-0.0587839191354456,-0.0010687330896668465,0.005942594647198735,0.0014506624822286315,-0.0012324225647555856,-0.0002536848479458829,0.008962948488366842,0.002000551257532088,0.005715793103658767,0.0032285142544858664,-0.0003322420667816414,0.011359113380322928,-0.002985425386060708,0.002552304956539817,0.0014264400827436778,0.0031394977117069375,0.0005150340913696854,0.005778797736121525,-0.005089378349880315,-0.00044353721932001894,-0.0014220713776941407,-0.00012554876816964344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
