sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39
CO1,134748,-0.16190562505289405,-0.04513280678373567,0.11066297936969495,-0.008420205413263193,0.0013235485499512086,0.004114748246581021,0.0011425471452083857,-0.003308480469367934,1.672349486613554e-05,0.0005698820325449065,-0.00021255035013788628,-0.00041251025025320503,-0.0006097470877451365,2.8327825915397937e-05,0.00022618511907232609,0.000125923562126892,-2.5372588490424884e-06,-2.685779478121296e-05,6.321438934192325e-05,3.7303987165359187e-05,1.580866379419857e-05,-1.9753018283427766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,134749,-0.011990550761544152,-0.007406837914183821,-0.02696066978684088,-0.017105643144872895,0.048609515794798504,0.00857503466767001,0.01809056131365555,-0.009475487418666693,-0.0001259837445964532,-0.004803441816741913,0.003273794044563356,-0.0007265305513849549,0.0004139069721408677,-0.001783385586624497,0.00029038476299707576,-4.752507241535165e-05,-0.0006393798937699886,-0.0002530444642673294,-0.0004666553341185481,0.00022709454954618035,5.745194785432163e-05,-0.00011508221715472928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR7,134750,0.016548756580918943,0.005626663945919516,0.00934399411055541,-0.00033513276517064796,-0.004212766104199811,-0.0045701279892854975,0.005936358989366231,0.002738041685388411,-0.001213664957846114,0.003095269852851962,6.584752292851387e-06,-0.000984458240829783,-0.004576254015465666,3.408851985575452e-05,-0.004280360637608755,0.0020592518073315838,0.001193043071008129,0.0008856481184187456,-0.00015470872742041054,0.0008341795504632498,-0.0002737492503125919,-0.0008800215004617335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA5,134752,0.0016333451626062384,2.0856733931729286e-05,-0.012705430961684316,-0.013342571144737402,0.014111423365124477,-0.0013698096516097974,-0.02451508649841087,-0.009320427787665857,0.0064521023797610095,0.0023457676267779107,0.006218539687107638,-0.004851330758548955,-0.004249961271083308,2.525315151263245e-05,0.0007450013251178135,0.0012733432924009246,0.0009360860210785409,0.0005699095041546598,0.00046061834566562995,0.00010051064382100486,0.00011738446457087522,0.00024994396533364313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FD5,134753,0.014564958076456311,0.011266945749335306,0.009583930469530468,0.00010716356474938057,0.005177442989587876,-0.004986213927809696,-0.008811862689430147,-0.008259435698866712,-0.011933127076153491,0.0037082963914181377,-0.002919408868892855,0.006761700401645854,0.006865456023471614,0.00277345051795389,-0.0007036725414560207,0.001819008970592637,-0.0004876048115054764,0.001855232219437483,0.00039246102244608203,0.00015540386292015095,-0.00032789899350552706,0.0001380705674249499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE10,134754,0.007582687357025993,0.015629863514906646,0.00034353835119227817,0.0005354270472193346,0.0002225858583110217,0.01701490417368225,-0.004916681771822618,0.006130905829107827,-0.01427061637363063,-0.012473321922883748,-0.005241694228993265,-0.006991965338569711,-0.0029757492272151687,-0.0012827882993930028,-0.0007673377535067703,-0.002850655139912514,-0.00045095601063803865,0.0005760500485230116,0.00015117619721955977,-0.00014903524342639013,8.847147949682003e-05,7.6938861004214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FF8,134755,0.012540868520166809,0.003693019447822993,0.003273907048590547,0.01786911014912039,-0.0018021299007373165,0.00495850479996964,0.0053757063738791196,-0.00143469152459753,-0.0004581091777891446,-0.0006077811991540333,0.000868316511400229,0.006090378123077522,-0.0017041113051393085,-0.001203196021074677,0.005165215003001744,-0.0008854214222371878,-0.0001187023286990443,-0.001435423750878077,-0.00024578606880831523,0.0008451096403939472,-0.00032620158749945715,-0.0003800590018220871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH11,134756,-0.011416451174455776,-0.025779197525387116,-0.03258467227896998,-0.028408382890836446,-0.007735732620727864,0.026254903827690107,0.01020044815900956,0.014924933710879171,0.002992281091620435,0.008423162032978675,-0.005358966451597076,0.000817379411314627,-0.001265412314459779,0.0015777573169425008,-0.0003613424305982439,0.00157582608108609,-0.00012349797184737027,-0.00014108991179434248,0.00024500551396281145,-0.0001552742017591007,-4.7659335117732825e-05,-6.454511177485555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI2,134757,0.018008499289626705,0.0054769303103700305,0.012096962290295929,0.003276715172725237,-0.00396677763975148,-0.0006788124115987257,-0.0021033814746087716,0.0051305137723341495,0.0003121338953527082,0.001693773301599272,0.001085813543503793,-0.0021006030332506856,0.000655951576319936,-0.00437297630807786,-0.002494235557694769,0.0012800117307614105,0.002017026259640075,0.0006007669634114046,-0.0008787813122273336,0.0011213332589393018,-0.0004207395614655029,0.0003868924144368895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJ14,134758,0.01845844637771518,0.011700620417655168,0.014244852966959733,-0.005781624477789936,-0.005665573904586832,-0.003190289871638431,0.006707631780007965,0.0007529749863439839,-0.0020250369831217203,0.0034335808708449438,-0.0005928358046592118,0.001126226036658683,0.0032169103541117906,-0.0013802170556094758,0.00013922473544584823,-0.0036496306394166902,0.00296590816504872,0.00013441809088879397,0.002354029865572046,-0.0016906502466778872,-0.0007020497139722885,0.00031896970429481404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
