gene,pval
Oarb_100364_c0_g1,0
Oarb_100378_c0_g1,0.232010040477065
Oarb_100389_c0_g1,0
Oarb_100397_c0_g1,0.487797793621307
Oarb_100414_c0_g1,-2.16018205025173
Oarb_100462_c0_g1,-0.220771325190156
Oarb_100473_c0_g1,-0.426575845541297
Oarb_100478_c0_g1,0.370666655212341
Oarb_100484_c0_g1,0.00909650862839787
Oarb_100494_c2_g1,2.26268899373844
Oarb_100496_c0_g1,-0.196657267218097
Oarb_100497_c0_g1,-0.232131710556609
Oarb_100499_c0_g4,0.0884474871452258
Oarb_100499_c0_g5,-0.432196816249155
Oarb_100510_c0_g1,-0.277722743450419
Oarb_100535_c0_g1,0.295145846685695
Oarb_100544_c0_g2,-8.58911748936721
Oarb_100547_c0_g1,0.199364987139214
Oarb_100548_c0_g2,-0.220769834297701
Oarb_100551_c0_g1,0
Oarb_100562_c0_g1,0.121446382557472
Oarb_100563_c0_g1,0
Oarb_100565_c0_g1,0.00943612238199285
Oarb_100565_c1_g1,-0.020787276350206
Oarb_100565_c1_g2,0
Oarb_100576_c0_g1,0.253900370080388
Oarb_100583_c0_g2,-0.856745720630992
Oarb_100590_c0_g1,0
Oarb_100615_c0_g1,0.300107543748947
Oarb_100625_c1_g1,-0.706622332884587
Oarb_100625_c1_g2,0.0715881871225112
Oarb_100631_c0_g1,0.0361599963206089
Oarb_100638_c1_g1,-2.7458063077703
Oarb_100640_c0_g1,0
Oarb_100649_c0_g1,1.77601939911992
Oarb_100655_c1_g1,-0.531979964046545
Oarb_100663_c1_g2,0
Oarb_100663_c1_g3,0
Oarb_100665_c2_g1,0.0509834756633136
Oarb_100670_c0_g1,-0.747128481350137
Oarb_100671_c0_g1,-0.539399965550482
Oarb_100674_c0_g1,1.97035668602913
Oarb_100676_c1_g1,0.121030775050948
Oarb_100678_c1_g1,-0.220771326221405
Oarb_100696_c0_g1,0.415534410480932
Oarb_100698_c0_g1,-2.38900537529435
Oarb_100698_c1_g1,-8.34643358856951
Oarb_100700_c1_g1,-9.94362611725554
Oarb_100702_c0_g1,-4.75260980719965
Oarb_100719_c3_g1,-0.515843485408374
Oarb_100728_c0_g1,0.126619188036073
Oarb_100734_c0_g1,0.258856935113969
Oarb_100735_c0_g1,-1.77124222379285
Oarb_10073_c0_g1,-4.09061388850616
Oarb_100747_c0_g1,-0.354750891654651
Oarb_100754_c0_g1,3.03640991118466
Oarb_100766_c0_g1,0
Oarb_100767_c0_g1,-0.00955823863203083
Oarb_100790_c0_g1,0.981172821503233
Oarb_100790_c1_g2,-2.65656931970645
Oarb_100795_c2_g3,-0.0593375927882613
Oarb_100800_c0_g1,7.58899186602771
Oarb_100804_c1_g1,0
Oarb_100812_c0_g1,0
Oarb_100813_c1_g1,-0.0404217155467995
Oarb_100827_c0_g1,-0.981199417387354
Oarb_100828_c1_g1,-0.171806489181508
Oarb_100831_c0_g1,-1.32280452202733
Oarb_100839_c1_g1,-3.43287394203261
Oarb_100844_c1_g1,0.840861676441458
Oarb_100850_c0_g1,-0.121540853527083
Oarb_100852_c0_g1,-0.931643998530717
Oarb_100852_c1_g1,-0.220771326221405
Oarb_100857_c0_g3,0.943650827365219
Oarb_100858_c0_g1,0.140871633042581
Oarb_100858_c0_g2,0.00739238988738303
Oarb_100864_c0_g1,0.00739054102741031
Oarb_100866_c2_g1,0.0704073089915426
Oarb_100867_c0_g1,0
Oarb_100868_c0_g1,-0.99938667340524
Oarb_100872_c2_g1,-0.0194322317547839
Oarb_100875_c0_g1,0.0523747111287017
Oarb_100883_c0_g2,0.310205330010734
Oarb_100884_c0_g1,0.760158804151652
Oarb_100889_c0_g1,0.0314496063793434
Oarb_100889_c0_g2,0.0314496063793434
Oarb_100911_c0_g1,-0.080840540813937
Oarb_100915_c0_g1,0
Oarb_100920_c0_g1,0.00440625047334924
Oarb_100924_c0_g1,0.070814673642739
Oarb_100944_c0_g1,-0.2628770211677
Oarb_100947_c0_g1,-3.18069072468851
Oarb_100963_c0_g1,0.192879144181518
Oarb_100967_c0_g1,1.89423790909641
Oarb_100970_c1_g1,3.20380409989175
Oarb_100990_c1_g1,-0.245172727875241
Oarb_100990_c1_g2,1.0097993501257
Oarb_100998_c0_g1,-3.37873171749231
Oarb_100998_c1_g1,-4.64645070278541
Oarb_101008_c0_g1,-0.222774762046744
Oarb_101052_c0_g1,0.755127799491647
Oarb_101055_c0_g1,-4.99025811665992
Oarb_101063_c0_g1,-0.220768567694843
Oarb_101066_c0_g1,0.18767993789169
Oarb_101069_c1_g1,-0.768827908524557
Oarb_101077_c0_g1,-2.79274014375667
Oarb_101079_c1_g1,0.031449615784558
Oarb_101085_c1_g2,0.424186825777947
Oarb_101089_c0_g1,1.05182486548237
Oarb_101108_c0_g1,-0.307419321284163
Oarb_101110_c0_g1,-1.75244202198106
Oarb_101111_c0_g2,-1.871945379146
Oarb_101117_c2_g1,1.16989489491515
Oarb_101117_c3_g2,0.48684151600013
Oarb_101119_c0_g1,-3.12720277012872
Oarb_101124_c0_g1,0.198915666307045
Oarb_101132_c1_g1,-2.80213072375811
Oarb_101141_c0_g1,0.260932714141985
Oarb_101155_c1_g1,0.0412494561447078
Oarb_101155_c2_g1,-1.59483889471862
Oarb_101157_c0_g2,3.92367563120699
Oarb_101158_c1_g1,0.0345778827824393
Oarb_101161_c1_g1,0.385346145705171
Oarb_101164_c0_g1,0.121547003797151
Oarb_101166_c0_g1,-0.220769216436251
Oarb_101171_c0_g1,0.242003683635265
Oarb_101185_c0_g1,-0.379592939065708
Oarb_101192_c0_g1,0.237491322407498
Oarb_101196_c0_g1,-2.55928115790057
Oarb_101202_c0_g1,0.839913122337291
Oarb_101204_c0_g1,0.0808410275881857
Oarb_101220_c0_g1,0
Oarb_101222_c0_g1,0.145517124987825
Oarb_101223_c0_g1,1.1381259461758
Oarb_101225_c0_g1,-0.212631118815871
Oarb_101227_c2_g1,-1.02870011622885
Oarb_101227_c3_g1,-2.10957329549463
Oarb_101228_c1_g1,-0.612589271338955
Oarb_101228_c1_g2,-2.05187758055975
Oarb_101248_c1_g1,0.198902158365379
Oarb_101258_c0_g1,-0.220771326221405
Oarb_101268_c0_g1,0.250121516408302
Oarb_101279_c4_g1,2.48409284180636
Oarb_101285_c0_g1,0.038662756056945
Oarb_101292_c0_g1,-1.03054699496395
Oarb_101296_c0_g1,-0.764269322550735
Oarb_101298_c0_g1,0.719955351909766
Oarb_101302_c0_g1,-2.51554805912456
