"","C4","C5","C9","D4","D5","D6","E10","E11","E3","F7","F8","F9","H1","I1","I2","I3","J13","J14","J15","K2","K3","L6","M2","M3","N4","O2","Q1","Q11","Q4","R7","R8"
"evm.TU.chromosome_14.913",1,1,0,1,0,1,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"evm.TU.chromosome_14.914",169,401,278,204,162,338,58,78,492,149,22,563,366,733,97,332,807,322,310,162,263,321,100,349,314,150,169,444,251,211,182
"evm.TU.chromosome_14.915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"evm.TU.chromosome_14.916",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.917",45,98,114,75,66,75,83,7,75,73,56,125,139,137,57,125,154,118,63,75,108,136,87,65,168,63,95,77,256,51,141
"evm.TU.chromosome_14.918",1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"evm.TU.chromosome_14.919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.92",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,2,0,1,0,0,0,0,2,0,1,0,0
"evm.TU.chromosome_14.920",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.921",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"evm.TU.chromosome_14.922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0
"evm.TU.chromosome_14.923",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"evm.TU.chromosome_14.924",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"evm.TU.chromosome_14.925",0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"evm.TU.chromosome_14.926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"evm.TU.chromosome_14.928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.929",0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,3,1,1,3,0,0,0,0,3,1,0,1,2,0
"evm.TU.chromosome_14.93",1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,4,0,1
"evm.TU.chromosome_14.930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
